,Major capsid,Minor capsid,Baseplate,Major tail,Minor tail,Portal,Tail fiber,Tail shaft,Collar,HTJ,Other,Confidence
contig_1517_phanotate_17_geneCall,0.01,0.23,0.07,0.02,0.07,0.22,0.14,0.02,0.10,0.27,8.85,1.00
contig_1517_phanotate_18_geneCall,0.00,0.10,0.00,0.00,0.01,0.00,0.01,0.00,0.02,0.00,9.85,1.00
contig_1517_phanotate_19_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_1517_phanotate_20_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,9.97,1.00
contig_1517_phanotate_21_geneCall,0.00,0.02,0.00,0.00,0.00,0.00,0.02,0.00,0.01,0.00,9.95,1.00
contig_1517_phanotate_22_geneCall,0.88,0.77,0.51,0.24,0.55,1.05,0.52,0.36,0.47,0.36,4.28,0.97
contig_1517_phanotate_23_geneCall,0.22,2.44,0.09,0.19,0.07,0.18,0.16,0.06,0.11,0.24,6.24,0.98
contig_1517_phanotate_24_geneCall,0.00,0.02,0.01,0.00,0.01,0.03,0.00,0.00,0.01,0.60,9.32,1.00
contig_1517_phanotate_25_geneCall,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.98,1.00
contig_1517_phanotate_26_geneCall,1.50,1.23,0.85,2.21,0.34,0.69,0.63,0.26,0.40,0.56,1.33,0.56
contig_1517_phanotate_27_geneCall,0.12,0.79,0.23,0.46,0.10,0.10,0.64,0.10,0.16,0.21,7.09,0.99
contig_1517_phanotate_28_geneCall,0.29,0.44,0.20,0.22,0.22,0.64,0.49,0.42,0.49,0.15,6.44,0.98
contig_1517_phanotate_29_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,9.98,1.00
contig_1517_phanotate_30_geneCall,0.36,0.58,0.13,0.10,0.08,0.39,0.24,0.10,0.81,0.35,6.87,0.99
contig_1517_phanotate_31_geneCall,0.08,0.80,0.70,0.26,0.12,0.49,0.56,0.04,0.31,0.53,6.11,0.98
contig_1517_phanotate_32_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
contig_1517_phanotate_33_geneCall,0.00,0.00,0.00,0.00,0.02,0.04,0.01,0.00,0.02,0.00,9.90,1.00
contig_1517_phanotate_34_geneCall,0.26,2.79,0.39,0.30,0.44,0.58,0.71,0.20,0.39,0.40,3.54,0.97
contig_1517_phanotate_35_geneCall,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.02,9.96,1.00
contig_1517_phanotate_36_geneCall,0.00,0.01,0.01,0.00,0.01,0.00,0.02,0.00,0.01,0.01,9.93,1.00
contig_1517_phanotate_37_geneCall,0.52,0.56,0.37,0.69,0.39,0.33,1.51,0.31,1.31,0.33,3.68,0.97
contig_1517_phanotate_38_geneCall,0.02,0.92,0.05,0.03,0.08,0.14,0.10,0.03,0.08,0.89,7.66,0.99
contig_1517_phanotate_39_geneCall,0.00,0.05,0.01,0.02,0.12,0.01,0.03,0.00,0.01,0.01,9.74,1.00
contig_1517_phanotate_40_geneCall,0.22,1.39,0.45,0.36,0.63,0.82,0.75,0.22,0.46,0.39,4.32,0.97
contig_1517_phanotate_41_geneCall,0.00,0.00,0.00,0.00,0.02,0.04,0.01,0.00,0.02,0.00,9.90,1.00
contig_1517_phanotate_42_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
contig_1517_phanotate_43_geneCall,0.08,0.80,0.70,0.26,0.12,0.49,0.56,0.04,0.31,0.53,6.11,0.98
contig_1517_phanotate_44_geneCall,0.36,0.58,0.13,0.10,0.08,0.39,0.24,0.10,0.81,0.35,6.87,0.99
contig_1517_phanotate_45_geneCall,0.36,0.58,0.13,0.10,0.08,0.39,0.24,0.10,0.81,0.35,6.87,0.99
contig_1517_phanotate_46_geneCall,0.08,0.80,0.70,0.26,0.12,0.49,0.56,0.04,0.31,0.53,6.11,0.98
contig_1517_phanotate_47_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
contig_1517_phanotate_48_geneCall,0.00,0.00,0.00,0.00,0.02,0.04,0.01,0.00,0.02,0.00,9.90,1.00
contig_1517_phanotate_49_geneCall,0.23,1.61,0.58,0.22,0.60,0.70,0.87,0.21,0.51,0.98,3.49,0.97
contig_1517_phanotate_50_geneCall,0.00,0.07,0.02,0.03,0.10,0.01,0.03,0.01,0.02,0.01,9.72,1.00
contig_1517_phanotate_51_geneCall,0.02,0.92,0.05,0.03,0.08,0.14,0.10,0.03,0.08,0.89,7.66,0.99
contig_1517_phanotate_52_geneCall,0.52,0.56,0.37,0.69,0.39,0.33,1.51,0.31,1.31,0.33,3.68,0.97
contig_1517_phanotate_53_geneCall,0.00,0.01,0.01,0.00,0.01,0.00,0.02,0.00,0.01,0.01,9.93,1.00
contig_1517_phanotate_54_geneCall,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.02,9.96,1.00
contig_1517_phanotate_55_geneCall,0.26,2.79,0.39,0.30,0.44,0.58,0.71,0.20,0.39,0.40,3.54,0.97
contig_1517_phanotate_56_geneCall,0.00,0.00,0.00,0.00,0.02,0.04,0.01,0.00,0.02,0.00,9.90,1.00
contig_1517_phanotate_57_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
contig_1517_phanotate_58_geneCall,0.08,0.80,0.70,0.26,0.12,0.49,0.56,0.04,0.31,0.53,6.11,0.98
contig_1517_phanotate_59_geneCall,0.36,0.58,0.13,0.10,0.08,0.39,0.24,0.10,0.81,0.35,6.87,0.99
contig_1517_phanotate_60_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_1517_phanotate_61_geneCall,0.29,0.44,0.20,0.22,0.22,0.64,0.49,0.42,0.49,0.15,6.44,0.98
contig_1517_phanotate_62_geneCall,0.12,0.79,0.23,0.46,0.10,0.10,0.64,0.10,0.16,0.21,7.09,0.99
contig_1517_phanotate_63_geneCall,1.50,1.23,0.85,2.21,0.34,0.69,0.63,0.26,0.40,0.56,1.33,0.56
contig_1517_phanotate_64_geneCall,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.98,1.00
contig_1517_phanotate_65_geneCall,0.00,0.02,0.01,0.00,0.01,0.03,0.00,0.00,0.01,0.60,9.32,1.00
contig_1517_phanotate_66_geneCall,0.22,2.44,0.09,0.19,0.07,0.18,0.16,0.06,0.11,0.24,6.24,0.98
contig_1517_phanotate_67_geneCall,0.88,0.77,0.51,0.24,0.55,1.05,0.52,0.36,0.47,0.36,4.28,0.97
contig_1517_phanotate_68_geneCall,0.00,0.02,0.00,0.00,0.00,0.00,0.02,0.00,0.01,0.00,9.95,1.00
contig_1517_phanotate_69_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,9.97,1.00
contig_1517_phanotate_70_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_1517_phanotate_71_geneCall,0.00,0.10,0.00,0.00,0.01,0.00,0.01,0.00,0.02,0.00,9.85,1.00
contig_1517_phanotate_72_geneCall,0.01,0.23,0.07,0.02,0.07,0.22,0.14,0.02,0.10,0.27,8.85,1.00
contig_1517_phanotate_73_geneCall,0.23,0.29,0.25,0.25,0.53,1.31,0.98,0.16,0.70,0.20,5.10,0.98
contig_1517_phanotate_74_geneCall,2.33,0.58,0.45,0.24,0.18,0.10,4.13,0.09,0.74,0.12,1.04,0.56
contig_1517_phanotate_75_geneCall,0.01,0.07,0.00,0.00,0.02,0.02,0.05,0.01,0.03,0.05,9.74,1.00
contig_1517_phanotate_76_geneCall,0.16,0.66,0.13,0.10,0.09,0.11,0.38,0.06,0.09,0.06,8.18,0.99
contig_1517_phanotate_77_geneCall,0.13,0.73,0.02,0.02,0.02,0.07,0.16,0.01,0.29,1.26,7.30,0.99
contig_1517_phanotate_78_geneCall,0.80,1.45,0.69,1.13,0.75,0.99,0.94,0.51,0.50,0.37,1.88,0.96
contig_1517_phanotate_79_geneCall,0.16,0.62,0.34,0.22,0.53,0.37,1.12,0.15,0.84,0.30,5.35,0.98
contig_1517_phanotate_80_geneCall,0.20,0.31,2.27,0.19,0.25,0.14,5.25,0.62,0.23,0.11,0.42,0.67
contig_1517_phanotate_81_geneCall,0.33,0.95,0.20,0.15,0.19,0.12,3.61,0.28,0.67,1.12,2.38,0.52
contig_1517_phanotate_82_geneCall,0.08,0.21,0.52,0.13,0.75,0.18,7.18,0.06,0.60,0.06,0.23,0.85
contig_1517_phanotate_83_geneCall,0.13,0.24,3.59,0.95,1.08,0.16,2.11,0.13,0.57,0.28,0.77,0.79
contig_1517_phanotate_84_geneCall,0.57,0.63,0.37,0.08,0.57,0.98,3.22,0.19,1.68,0.18,1.54,0.47
contig_1517_phanotate_85_geneCall,0.16,0.39,0.10,0.19,0.15,0.40,0.47,0.15,0.54,0.37,7.08,0.99
contig_1517_phanotate_86_geneCall,1.30,6.46,0.38,0.06,0.15,0.13,0.60,0.04,0.14,0.09,0.65,0.22
contig_1517_phanotate_87_geneCall,0.00,0.02,0.00,0.00,0.00,2.48,0.01,0.00,0.02,2.16,5.30,0.98
contig_1517_phanotate_88_geneCall,0.47,1.10,0.25,0.15,0.24,0.68,0.30,0.16,0.32,1.09,5.25,0.98
contig_1517_phanotate_89_geneCall,0.09,0.11,0.07,9.20,0.09,0.03,0.06,0.03,0.06,0.02,0.25,0.99
contig_1517_phanotate_90_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_1517_phanotate_91_geneCall,0.01,0.02,0.18,0.16,1.08,0.35,1.08,0.00,0.33,0.03,6.78,0.98
contig_1517_phanotate_92_geneCall,1.45,1.18,0.80,0.79,0.40,0.62,1.10,0.32,0.50,0.64,2.22,0.96
contig_1517_phanotate_93_geneCall,0.08,0.27,0.52,0.26,1.01,0.25,6.03,0.09,1.05,0.11,0.32,0.72
contig_1517_phanotate_94_geneCall,0.33,0.95,0.20,0.15,0.19,0.12,3.61,0.28,0.67,1.12,2.38,0.52
contig_1517_phanotate_95_geneCall,0.99,2.18,1.65,0.34,0.50,0.92,1.49,0.24,0.36,0.41,0.93,0.08
contig_1517_phanotate_96_geneCall,1.50,1.23,0.85,2.21,0.34,0.69,0.63,0.26,0.40,0.56,1.33,0.56
contig_1517_phanotate_97_geneCall,0.00,0.55,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,9.42,1.00
contig_1517_phanotate_98_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,9.38,1.00
contig_1517_phanotate_99_geneCall,0.42,0.28,0.08,0.10,0.13,0.33,0.20,0.09,0.12,5.45,2.79,0.77
contig_1517_phanotate_100_geneCall,0.76,0.41,1.99,0.19,0.81,0.30,0.72,0.39,0.55,0.97,2.92,0.96
contig_1517_phanotate_101_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_1517_phanotate_102_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,9.98,1.00
contig_1517_phanotate_103_geneCall,0.22,0.20,0.16,0.04,2.49,0.31,0.69,0.06,0.75,0.10,4.98,0.98
contig_1517_phanotate_104_geneCall,0.03,0.60,0.06,0.05,0.16,0.23,0.52,0.02,0.34,0.04,7.98,0.99
contig_1517_phanotate_105_geneCall,0.05,0.23,0.09,0.04,0.11,0.85,0.37,0.05,0.29,0.09,7.84,0.99
contig_1517_phanotate_106_geneCall,0.07,0.21,0.15,0.06,0.29,1.46,0.49,0.08,0.39,0.14,6.69,0.98
contig_1517_phanotate_107_geneCall,0.03,0.60,0.06,0.05,0.16,0.23,0.52,0.02,0.34,0.04,7.98,0.99
contig_1517_phanotate_108_geneCall,0.22,0.20,0.16,0.04,2.49,0.31,0.69,0.06,0.75,0.10,4.98,0.98
contig_1517_phanotate_109_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,9.98,1.00
contig_1517_phanotate_110_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_1517_phanotate_111_geneCall,0.76,0.41,1.99,0.19,0.81,0.30,0.72,0.39,0.55,0.97,2.92,0.96
contig_1517_phanotate_112_geneCall,0.42,0.28,0.08,0.10,0.13,0.33,0.20,0.09,0.12,5.45,2.79,0.77
contig_1517_phanotate_113_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,9.38,1.00
contig_1517_phanotate_114_geneCall,0.00,0.55,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,9.42,1.00
contig_1517_phanotate_115_geneCall,1.50,1.23,0.85,2.21,0.34,0.69,0.63,0.26,0.40,0.56,1.33,0.56
contig_1517_phanotate_116_geneCall,1.33,2.55,1.42,0.26,0.38,1.02,1.04,0.49,0.37,0.27,0.89,0.08
contig_1517_phanotate_117_geneCall,0.22,1.44,1.46,0.05,0.15,0.15,2.05,0.13,0.27,2.72,1.37,0.59
contig_1517_phanotate_118_geneCall,0.13,0.34,0.95,0.42,0.68,0.41,5.17,0.19,1.03,0.17,0.52,0.67
contig_1517_phanotate_119_geneCall,0.46,1.13,1.15,0.97,0.35,0.72,2.59,0.43,0.58,0.32,1.30,0.41
contig_1518_phanotate_1_geneCall,0.01,0.50,0.02,0.01,0.02,0.17,0.08,0.01,0.02,0.10,9.07,1.00
contig_1518_phanotate_2_geneCall,0.18,1.37,0.22,0.60,0.20,0.22,0.50,0.18,0.24,0.60,5.69,0.98
contig_1518_phanotate_3_geneCall,0.02,0.29,0.03,0.05,0.09,1.53,0.11,0.01,0.11,0.58,7.18,0.99
contig_1518_phanotate_4_geneCall,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.01,0.02,9.93,1.00
contig_1518_phanotate_5_geneCall,0.34,1.78,0.39,0.42,0.21,0.55,0.87,0.21,0.72,0.26,4.24,0.97
contig_1518_phanotate_6_geneCall,0.00,0.03,0.00,0.02,0.02,1.38,0.13,0.01,0.03,0.10,8.27,0.99
contig_1518_phanotate_7_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_1518_phanotate_8_geneCall,0.22,2.36,0.17,0.14,0.30,0.72,0.55,0.16,0.24,0.44,4.70,0.98
contig_1518_phanotate_9_geneCall,0.03,1.00,0.17,0.09,0.17,0.07,0.18,0.03,0.07,0.11,8.07,0.99
contig_1518_phanotate_10_geneCall,0.01,0.14,0.02,0.00,0.21,0.07,0.05,0.00,0.02,0.04,9.45,1.00
contig_1518_phanotate_11_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,9.98,1.00
contig_1518_phanotate_12_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_1518_phanotate_13_geneCall,0.00,0.02,0.00,0.00,0.03,0.01,0.04,0.00,0.02,0.01,9.86,1.00
contig_1518_phanotate_14_geneCall,0.10,0.44,0.09,0.27,0.58,0.22,0.30,0.06,0.18,0.17,7.60,0.99
contig_1518_phanotate_15_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_1518_phanotate_16_geneCall,0.31,1.09,0.10,0.11,0.16,0.34,0.24,0.14,0.28,0.51,6.71,0.98
contig_1518_phanotate_17_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,9.99,1.00
contig_1518_phanotate_18_geneCall,0.07,1.38,0.50,0.05,0.13,0.55,1.75,1.94,0.08,0.98,2.56,0.96
contig_1518_phanotate_19_geneCall,0.34,2.32,0.24,0.21,0.20,0.32,0.43,0.14,0.24,1.01,4.55,0.98
contig_1518_phanotate_20_geneCall,1.01,2.23,0.17,0.19,0.14,0.74,0.47,0.18,0.18,0.40,4.29,0.97
contig_1518_phanotate_21_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_1518_phanotate_22_geneCall,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.96,1.00
contig_1518_phanotate_23_geneCall,0.01,0.08,0.01,0.00,0.01,0.04,0.03,0.01,0.04,0.08,9.70,1.00
contig_1518_phanotate_24_geneCall,0.70,0.60,0.28,0.20,0.59,0.66,0.54,0.12,0.24,0.42,5.67,0.98
contig_1518_phanotate_25_geneCall,1.59,0.40,0.34,0.14,0.43,0.45,0.34,0.22,0.76,0.23,5.10,0.98
contig_1518_phanotate_26_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_1518_phanotate_27_geneCall,0.00,0.02,0.02,0.00,0.00,0.00,0.12,0.00,0.00,0.02,9.82,1.00
contig_1518_phanotate_28_geneCall,0.00,0.01,0.01,0.00,0.00,0.01,0.01,0.00,0.00,0.01,9.95,1.00
contig_1518_phanotate_29_geneCall,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.01,9.96,1.00
contig_1518_phanotate_30_geneCall,0.00,0.01,0.00,0.02,0.01,0.00,0.06,0.00,0.00,0.01,9.89,1.00
contig_1518_phanotate_31_geneCall,0.00,0.02,0.00,0.00,0.01,0.09,0.05,0.01,0.01,0.00,9.82,1.00
contig_1518_phanotate_32_geneCall,0.00,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.01,0.00,9.96,1.00
contig_1518_phanotate_33_geneCall,0.00,1.18,0.00,0.00,0.01,0.05,0.04,0.00,0.01,0.06,8.64,1.00
contig_1518_phanotate_34_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.99,1.00
contig_1518_phanotate_35_geneCall,0.07,1.43,0.21,0.08,0.10,0.09,0.43,0.10,0.48,0.21,6.78,0.98
contig_1518_phanotate_36_geneCall,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,1.69,8.27,0.99
contig_1518_phanotate_37_geneCall,0.02,0.07,0.03,0.01,0.03,0.15,0.26,0.02,0.14,0.08,9.19,1.00
contig_1518_phanotate_38_geneCall,0.92,0.66,0.03,0.03,0.08,0.03,0.15,0.04,0.05,0.01,7.99,0.99
contig_1518_phanotate_39_geneCall,0.00,0.04,0.01,0.00,0.01,0.14,0.01,0.00,0.01,0.02,9.77,1.00
contig_1518_phanotate_40_geneCall,0.00,0.01,0.01,0.00,0.02,0.00,0.01,0.00,0.00,0.02,9.93,1.00
contig_1518_phanotate_41_geneCall,0.12,0.10,0.14,0.12,0.10,0.46,0.20,0.36,0.37,0.16,7.86,0.99
contig_1518_phanotate_42_geneCall,0.19,1.03,0.06,0.23,0.13,0.67,1.56,0.08,1.15,0.20,4.70,0.98
contig_1518_phanotate_43_geneCall,0.02,0.19,0.06,0.40,0.05,0.09,0.47,0.03,0.41,0.11,8.17,0.99
contig_1518_phanotate_44_geneCall,2.48,0.99,1.51,0.47,0.50,0.58,1.21,0.46,0.53,0.31,0.96,0.83
contig_1518_phanotate_45_geneCall,0.80,0.46,2.53,0.54,0.42,0.45,1.81,0.32,0.45,0.98,1.26,0.74
contig_1518_phanotate_46_geneCall,0.39,1.07,0.23,0.05,0.06,0.34,0.60,0.20,1.05,0.69,5.31,0.98
contig_1518_phanotate_47_geneCall,0.02,0.28,1.01,0.11,0.38,0.14,7.31,0.12,0.33,0.06,0.24,0.85
contig_1518_phanotate_48_geneCall,0.15,0.33,2.26,1.37,1.05,0.29,1.05,0.08,1.26,0.48,1.68,0.73
contig_1518_phanotate_49_geneCall,0.23,2.16,0.28,0.03,0.71,0.61,4.04,0.08,0.61,0.04,1.21,0.56
contig_1518_phanotate_50_geneCall,0.00,0.01,0.00,0.00,0.00,0.36,0.00,0.00,0.01,0.04,9.56,1.00
contig_1518_phanotate_51_geneCall,0.18,0.38,0.15,0.04,0.41,0.28,0.12,0.07,0.09,0.12,8.16,0.99
contig_1518_phanotate_52_geneCall,0.10,0.10,0.07,9.14,0.18,0.02,0.06,0.05,0.06,0.02,0.21,0.98
contig_1518_phanotate_53_geneCall,0.13,0.52,2.78,0.29,0.33,0.19,0.74,0.12,0.17,0.15,4.59,0.98
contig_1518_phanotate_54_geneCall,0.07,0.15,0.02,0.01,0.03,0.17,0.13,0.02,0.08,2.73,6.59,0.98
contig_1518_phanotate_55_geneCall,0.06,0.57,0.54,0.04,0.25,0.13,0.42,0.02,0.05,6.98,0.94,0.87
contig_1518_phanotate_56_geneCall,0.03,0.23,0.03,0.02,0.08,0.44,0.14,0.10,0.06,0.65,8.23,0.99
contig_1518_phanotate_57_geneCall,8.05,0.27,0.09,0.27,0.09,0.21,0.25,0.08,0.18,0.13,0.39,0.99
contig_1518_phanotate_58_geneCall,1.14,0.43,0.22,0.04,0.09,7.04,0.20,0.22,0.16,0.15,0.30,0.98
contig_1518_phanotate_59_geneCall,0.31,0.51,0.45,1.48,2.55,0.30,0.54,0.20,0.65,0.15,2.87,0.96
contig_1518_phanotate_60_geneCall,0.00,0.03,0.01,0.01,0.01,0.00,0.05,0.01,0.03,0.01,9.83,1.00
contig_1518_phanotate_61_geneCall,0.13,0.32,0.07,0.08,0.15,2.78,0.42,0.11,0.39,0.47,5.07,0.98
contig_1518_phanotate_62_geneCall,0.09,0.20,0.24,0.07,0.11,4.62,0.42,0.05,0.30,1.81,2.09,0.91
contig_1518_phanotate_63_geneCall,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05,9.93,1.00
contig_1518_phanotate_64_geneCall,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.92,1.00
contig_1518_phanotate_65_geneCall,0.23,1.91,3.08,0.13,0.10,0.16,0.45,0.10,0.13,0.19,3.51,0.97
contig_1518_phanotate_66_geneCall,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.96,1.00
contig_1518_phanotate_67_geneCall,0.00,0.06,0.01,0.00,0.03,0.01,0.01,0.00,0.01,0.18,9.69,1.00
contig_1518_phanotate_68_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.02,0.00,9.92,1.00
contig_1522_phanotate_1_geneCall,1.50,1.23,0.85,2.21,0.34,0.69,0.63,0.26,0.40,0.56,1.33,0.56
contig_1522_phanotate_2_geneCall,0.00,0.55,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,9.42,1.00
contig_1522_phanotate_3_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.62,9.38,1.00
contig_1522_phanotate_4_geneCall,0.42,0.28,0.08,0.10,0.13,0.33,0.20,0.09,0.12,5.45,2.79,0.77
contig_1522_phanotate_5_geneCall,0.76,0.41,1.99,0.19,0.81,0.30,0.72,0.39,0.55,0.97,2.92,0.96
contig_1522_phanotate_6_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,1.00
contig_1522_phanotate_7_geneCall,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,9.98,1.00
contig_1522_phanotate_8_geneCall,0.22,0.20,0.16,0.04,2.49,0.31,0.69,0.06,0.75,0.10,4.98,0.98
contig_1522_phanotate_9_geneCall,0.03,0.60,0.06,0.05,0.16,0.23,0.52,0.02,0.34,0.04,7.98,0.99
contig_1522_phanotate_10_geneCall,0.08,0.28,0.13,0.06,0.24,1.35,0.40,0.08,0.38,0.14,6.86,0.99
contig_1539_phanotate_1_geneCall,0.19,2.33,0.91,0.27,0.43,1.62,0.56,0.17,0.59,0.99,1.93,0.08
contig_1539_phanotate_2_geneCall,0.31,0.90,2.73,0.33,0.66,0.34,1.79,0.88,0.74,0.25,1.07,0.75
contig_1539_phanotate_3_geneCall,0.18,1.57,0.88,1.55,0.63,0.34,0.49,0.15,0.40,0.89,2.92,0.96
contig_1539_phanotate_4_geneCall,0.06,0.18,0.16,0.15,0.10,0.12,0.10,0.04,0.25,0.42,8.43,0.99
contig_1539_phanotate_5_geneCall,0.81,1.00,0.45,0.21,0.61,1.19,0.87,1.19,0.41,0.86,2.39,0.96
contig_1539_phanotate_6_geneCall,1.37,0.89,0.69,0.59,0.31,1.92,0.88,0.18,0.68,0.82,1.68,0.81
contig_1539_phanotate_7_geneCall,0.05,0.13,0.01,0.01,0.04,0.19,0.12,0.02,0.13,1.39,7.91,0.99
contig_1539_phanotate_8_geneCall,0.23,0.53,0.30,0.22,0.19,0.23,0.81,0.19,0.39,1.20,5.70,0.98
contig_1539_phanotate_9_geneCall,0.00,0.03,0.00,0.00,0.01,0.00,0.01,0.00,0.01,0.00,9.92,1.00
contig_1539_phanotate_10_geneCall,0.00,0.03,0.02,0.11,0.05,0.01,0.37,0.00,0.52,0.01,8.88,1.00
contig_1539_phanotate_11_geneCall,0.11,0.97,0.36,0.12,0.22,0.95,0.54,0.16,0.40,0.98,5.19,0.98
contig_1539_phanotate_12_geneCall,0.26,1.82,0.84,0.18,0.36,1.16,0.92,0.30,1.01,0.56,2.59,0.96
contig_1539_phanotate_13_geneCall,3.62,1.18,0.33,0.07,0.31,0.37,0.59,0.18,0.21,0.46,2.69,0.89
contig_1539_phanotate_14_geneCall,0.05,0.17,0.01,0.00,0.00,0.00,0.02,0.00,0.02,0.00,9.73,1.00
contig_1539_phanotate_15_geneCall,0.00,0.05,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.12,9.81,1.00
contig_1539_phanotate_16_geneCall,0.08,3.92,0.08,0.05,0.02,0.54,0.10,0.05,0.03,0.06,5.07,0.98
contig_1539_phanotate_17_geneCall,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.62,1.00
contig_1539_phanotate_18_geneCall,0.04,0.95,0.08,0.04,0.14,0.22,0.21,0.06,0.07,0.09,8.10,0.99
contig_1539_phanotate_19_geneCall,0.00,0.02,0.25,0.06,0.01,0.00,0.00,0.00,0.01,3.26,6.40,0.98
contig_1539_phanotate_20_geneCall,0.03,0.25,1.98,0.16,0.10,0.07,3.41,0.03,3.02,0.07,0.89,0.49
contig_1539_phanotate_21_geneCall,0.02,0.18,0.07,0.04,0.05,1.31,0.08,0.04,0.18,0.53,7.50,0.99
contig_1539_phanotate_22_geneCall,0.81,1.48,2.36,0.43,0.45,0.63,0.74,0.53,0.45,0.88,1.25,0.74
contig_1539_phanotate_23_geneCall,0.13,0.29,0.34,0.26,0.28,0.14,0.22,0.12,0.24,5.64,2.34,0.79
contig_1539_phanotate_24_geneCall,0.06,3.08,0.08,0.22,0.09,0.31,0.13,0.07,0.22,0.13,5.61,0.98
contig_1539_phanotate_25_geneCall,0.19,0.44,0.07,0.04,0.08,0.07,0.87,0.02,0.10,0.02,8.09,0.99
contig_1539_phanotate_26_geneCall,0.02,0.06,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.00,9.87,1.00
contig_1539_phanotate_27_geneCall,3.62,1.18,0.33,0.07,0.31,0.37,0.59,0.18,0.21,0.46,2.69,0.89
contig_1539_phanotate_28_geneCall,0.21,2.68,0.46,0.15,0.28,0.50,0.31,0.10,0.36,0.28,4.70,0.98
contig_1539_phanotate_29_geneCall,0.10,1.06,0.65,0.41,0.13,1.71,0.26,0.06,0.52,0.60,4.48,0.98
contig_1539_phanotate_30_geneCall,0.11,1.64,0.41,0.18,0.27,0.81,0.37,0.19,0.37,1.75,3.90,0.97
