Genome	Flye.length	Flye.cov	Flye.circ	IsPhage	Vibrant.prediction	Vibrant.type	Vibrant.Quality	Phaster.COMPLETENESS.score	Phaster.SPECIFIC_KEYWORD	Phaster.TOTAL_PROTEIN_NUM	Phaster.PHAGE_HIT_PROTEIN_NUM	Phaster.MOST_COMMON_PHAGE_NAME.hit_genes_count	vHulk.pred	VC	VC.Status	VC.Size	VC.Subcluster	VC.Subcluster.Size	VC.Quality	VC.members			virusTax	jtHost	crisprhit	mattInfo	bonillaInfo	CrisprDB
circular_pair_3535	15747	72	Y	TRUE	virus	NA	NA	NA	NA	NA	NA	NA	None	419_0	Clustered	2	VC_419_0	2	0.6216	circular_pair_3535,contig_3013	1	20			NA	NA	NA	NA
contig_3013	15785	77	Y	TRUE	virus	lytic,lytic	low quality draft,complete circular	NA	NA	NA	NA	NA	None	419_0	Clustered	2	VC_419_0	2	0.6216	circular_pair_3535,contig_3013	1	20			NA	NA	NA	NA
contig_2735	4443	170	N	TRUE	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	427_0	Clustered	2	VC_427_0	2	0.149	contig_2735,contig_2737	1	1		Serratia	NA	NA	NA	Serratia
contig_2737	4227	262	N	TRUE	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	427_0	Clustered	2	VC_427_0	2	0.149	contig_2735,contig_2737	1	1			NA	NA	NA	NA
circular_pair_2501	4403	46	Y	TRUE	virus	NA	NA	NA	NA	NA	NA	NA	NA	457_0	Clustered	2	VC_457_0	2	1	circular_pair_2501,contig_2963	1	20			NA	NA	NA	NA
contig_2963	4420	47	Y	TRUE	virus	lytic,lytic	low quality draft,complete circular	NA	NA	NA	NA	NA	NA	457_0	Clustered	2	VC_457_0	2	1	circular_pair_2501,contig_2963	1	20			NA	NA	NA	NA
contig_2993	8777	21	Y	TRUE	virus	lytic	medium quality draft	intact(150)	lysis	12	7	PHAGE_Alces_4718_NC_040349(3),PHAGE_Microv_Fen7940_21_NC_027648(2),PHAGE_Chimpa_3_NC_030458(1),PHAGE_Alces_5560_NC_040350(1),PHAGE_Gokush_Bog1183_53_NC_027633(1),PHAGE_Paraba_YZ_2015a_NC_029012(1),PHAGE_Gokush_Bog8989_22_NC_027637(1),PHAGE_Gokush_GNX3R_NC_028994(1),PHAGE_Gokush_Bog5712_52_NC_027636(1),PHAGE_Alces_5067_NC_040374(1),PHAGE_Paraba_YZ_2015b_NC_029014(1),PHAGE_Gokush_Fen672_31_NC_027642(1),PHAGE_Chlamy_4_NC_007461(1)	Escherichia_coli	458_0	Clustered	2	VC_458_0	2	1	circular_pair_3188,contig_2993	1	20		Escherichia	NA	NA	NA	NA
circular_pair_3188	8765	21	Y	TRUE	virus	lytic	medium quality draft	NA	NA	NA	NA	NA	Escherichia_coli	458_0	Clustered	2	VC_458_0	2	1	circular_pair_3188,contig_2993	1	20		Escherichia	NA	NA	NA	NA
circular_pair_3245	4344	38	Y	TRUE	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	459_0	Clustered	2	VC_459_0	2	1	circular_pair_3245,circular_pair_3501	1	#VALUE!		Bifidobacterium	Bifidobacterium asteroides	NA	NA	Bifidobacterium
circular_pair_3501	4582	59	Y	TRUE	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	459_0	Clustered	2	VC_459_0	2	1	circular_pair_3245,circular_pair_3501	1	#VALUE!			NA	NA	NA	NA
circular_pair_330	6328	70	Y	TRUE	virus	NA	NA	NA	NA	NA	NA	NA	None	460_0	Clustered	2	VC_460_0	2	1	circular_pair_330,contig_2996	1	19			NA	NA	NA	NA
contig_2996	6346	78	Y	TRUE	virus	lytic,lytic	low quality draft,complete circular	NA	NA	NA	NA	NA	None	460_0	Clustered	2	VC_460_0	2	1	circular_pair_330,contig_2996	1	19			NA	NA	NA	NA
circular_pair_4796	6181	58	Y	TRUE	virus	lytic,lytic	low quality draft,complete circular	NA	NA	NA	NA	NA	None	461_0	Clustered	2	VC_461_0	2	1	circular_pair_4796,contig_3075	1	20			NA	NA	NA	NA
contig_3075	6249	60	Y	TRUE	virus	lytic,lytic	low quality draft,complete circular	NA	NA	NA	NA	NA	None	461_0	Clustered	2	VC_461_0	2	1	circular_pair_4796,contig_3075	1	20			NA	NA	NA	NA
circular_read_270	5011	4	Y	TRUE	virus	lytic	low quality draft	NA	NA	NA	NA	NA	Escherichia_coli	462_0	Clustered	2	VC_462_0	2	1	circular_read_270,contig_3130	1	19		Escherichia	NA	NA	NA	NA
contig_3130	5025	4	Y	TRUE	virus	lytic	low quality draft	NA	NA	NA	NA	NA	Escherichia_coli	462_0	Clustered	2	VC_462_0	2	1	circular_read_270,contig_3130	1	19		Escherichia	NA	NA	NA	NA
circular_pair_1649	4149	28	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_886	4172	17	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_56	1857	63	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_641	2267	120	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_142	2958	60	Y	TRUE	virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
contig_1627	14532	74	N	TRUE	NA	NA	NA	incomplete(30)	tail,capsid	8	6	PHAGE_Entero_vB_Efae230P_4_NC_025467(2),PHAGE_Lactoc_WP_2_NC_024149(2),PHAGE_Strept_C1_NC_004814(2),PHAGE_Entero_vB_IME195_NC_028693(2),PHAGE_Staphy_SAP_2_NC_009875(1),PHAGE_Lactoc_KSY1_NC_009817(1),PHAGE_Lactoc_949_NC_015263(1),PHAGE_Lactoc_phiL47_NC_023574(1),PHAGE_Lister_LMTA_34_NC_042048(1),PHAGE_Lister_LP_048_NC_024359(1),PHAGE_Lister_P100_NC_007610(1),PHAGE_Entero_EF62phi_NC_017732(1),PHAGE_Lactoc_r1t_NC_004302(1),PHAGE_Staphy_66_NC_007046(1),PHAGE_Lister_LMSP_25_NC_024360(1),PHAGE_Staphy_SLPW_NC_031008(1),PHAGE_Staphy_GRCS_NC_023550(1),PHAGE_Lactoc_WRP3_NC_027341(1)	None		Outlier	NA	NA	NA	NA	NA		#VALUE!		Lactobacillus	NA	NA	NA	NA
circular_pair_131	2544	71	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_1390	4620	46	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_1398	4549	13	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_1594	4576	67	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_1769	11936	2	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	None		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_2090	4808	104	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_223	19590	5	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	None		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_2652	33327	4	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	None		Outlier	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_2858	3522	72	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_2880	2812	125	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_348	11168	14	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	None		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_3528	3611	60	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Outlier	NA	NA	NA	NA	NA		#VALUE!		Gilliamella	Gilliamella apicola	NA	NA	Gilliamella
circular_pair_3596	13347	76	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	None		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_3772	4138	43	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_3789	2972	57	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_4158	17316	8	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	None		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_4236	4703	73	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_4265	6002	21	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	None		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_4276	4416	17	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_44	5202	94	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	None		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_4545	15549	5	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	None		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_4571	1806	64	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_4605	6263	14	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	None		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_509	5028	24	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	None		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_554	3534	16	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_575	6612	15	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	None		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_943	5576	15	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	None		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_1073	28579	6	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	Pseudomonas		Outlier	NA	NA	NA	NA	NA		#VALUE!		Bartonella	NA	NA	NA	NA
circular_read_1092	1927	107	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_1132	2227	23	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_120	2155	34	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_13	2090	8	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_229	1863	55	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_362	4491	13	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_441	2403	19	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_523	3373	7	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_527	4442	12	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_662	3386	11	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_69	3871	27	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_734	1947	168	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_807	2366	54	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Outlier	NA	NA	NA	NA	NA		#VALUE!		Bifidobacterium	NA	NA	NA	Bifidobacterium
circular_read_845	2992	33	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_88	24559	1	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	None		Outlier	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_898	2503	46	Y	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_102	6061	100	Y	TRUE	organism	NA	NA	NA	NA	NA	NA	NA	None		Singleton	NA	NA	NA	NA	NA		#VALUE!		Gilliamella	Gilliamella apicola	NA	NA	Gilliamella
circular_pair_242	5255	28	Y	TRUE	organism	NA	NA	NA	NA	NA	NA	NA	None		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_3129	5198	26	Y	TRUE	organism	NA	NA	NA	NA	NA	NA	NA	None		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_3218	3094	101	Y	TRUE	organism	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!		Gilliamella	Gilliamella apicola	NA	NA	Gilliamella
circular_pair_4583	3858	34	Y	TRUE	organism	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_1086	2209	34	Y	TRUE	organism	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_243	3085	27	Y	TRUE	organism	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_326	3705	11	Y	TRUE	organism	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_752	4760	16	Y	TRUE	organism	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_85	1920	108	Y	TRUE	organism	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_940	2809	132	Y	TRUE	organism	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
contig_1025	3094	22	N	TRUE	organism	lytic	low quality draft	NA	NA	NA	NA	NA	NA		Outlier	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_read_1029	7966	12	Y	TRUE	plasmid	NA	NA	incomplete(10)	NA	27	22	PHAGE_Shigel_Sf6_NC_005344(2),PHAGE_Shigel_SfII_NC_021857(2)	Staphylococcus		Singleton	NA	NA	NA	NA	NA		#VALUE!		Serratia	NA	NA	NA	NA
circular_pair_3719	7044	15	Y	TRUE	plasmid	NA	NA	NA	NA	NA	NA	NA	None		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_47	4038	37	Y	TRUE	plasmid	NA	NA	NA	NA	NA	NA	NA	NA		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
circular_pair_774	5132	17	Y	TRUE	plasmid	NA	NA	NA	NA	NA	NA	NA	None		Singleton	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
contig_3105	7951	12	Y	TRUE	plasmid	lytic	low quality draft	NA	NA	NA	NA	NA	Staphylococcus		Singleton	NA	NA	NA	NA	NA		#VALUE!		Serratia	NA	NA	NA	NA
contig_1702	5891	125	N	TRUE	virus	lysogenic	low quality draft	incomplete(20)	integrase	8	6	PHAGE_Lactob_LBR48_NC_027990(2),PHAGE_Lactob_LF1_NC_019486(2),PHAGE_Lactob_Lj771_NC_010179(2),PHAGE_Lactob_Lv_1_NC_011801(2),PHAGE_Lactob_Lj965_NC_005355(1),PHAGE_Lactoc_KSY1_NC_009817(1),PHAGE_Lister_A118_NC_003216(1),PHAGE_Lactoc_949_NC_015263(1),PHAGE_Lister_vB_LmoS_293_NC_028929(1),PHAGE_Lactob_JCL1032_NC_019456(1),PHAGE_Lister_A500_NC_009810(1),PHAGE_Lactob_jlb1_NC_024206(1),PHAGE_Lactoc_phiL47_NC_023574(1),PHAGE_Lactob_KC5a_NC_007924(1),PHAGE_Lister_vB_LmoS_188_NC_028871(1),PHAGE_Lactob_A2_NC_004112(1),PHAGE_Lactoc_r1t_NC_004302(1),PHAGE_Lactob_Sha1_NC_019489(1),PHAGE_Lactob_phiAT3_NC_005893(1),PHAGE_Lister_A006_NC_009815(1),PHAGE_Lister_LP_030_3_NC_024384(1),PHAGE_Lactoc_WRP3_NC_027341(1)	None		Outlier	NA	NA	NA	NA	NA		#VALUE!		Lactobacillus	NA	NA	NA	NA
contig_1832	8292	140	N	TRUE	virus	lysogenic	low quality draft	incomplete(30)	lysin,integrase	11	6	PHAGE_Lactob_KC5a_NC_007924(2),PHAGE_Lactob_Lv_1_NC_011801(2),PHAGE_Lactob_Lj965_NC_005355(1),PHAGE_Lactoc_KSY1_NC_009817(1),PHAGE_Lister_A118_NC_003216(1),PHAGE_Lister_vB_LmoS_293_NC_028929(1),PHAGE_Lactoc_949_NC_015263(1),PHAGE_Erysip_SE_1_NC_029078(1),PHAGE_Lister_A500_NC_009810(1),PHAGE_Lactob_jlb1_NC_024206(1),PHAGE_Lactoc_phiL47_NC_023574(1),PHAGE_Strept_phiARI0131_1_NC_031901(1),PHAGE_Lactob_iA2_NC_028830(1),PHAGE_Lactob_LBR48_NC_027990(1),PHAGE_Lister_vB_LmoS_188_NC_028871(1),PHAGE_Lactoc_r1t_NC_004302(1),PHAGE_Lactob_Sha1_NC_019489(1),PHAGE_Lactob_LF1_NC_019486(1),PHAGE_Lactob_phiAT3_NC_005893(1),PHAGE_Lister_LP_030_3_NC_024384(1),PHAGE_Lactob_Lj771_NC_010179(1),PHAGE_Entero_vB_IME197_NC_028671(1),PHAGE_Lactoc_WRP3_NC_027341(1)	None		Outlier	NA	NA	NA	NA	NA		#VALUE!		Lactobacillus Firm-5	Lactobacillus kullabergensis	NA	NA	Lactobacillus
contig_1838	4587	29	N	TRUE	virus	lytic	low quality draft	incomplete(30)	lysin	7	6	PHAGE_Lactoc_KSY1_NC_009817(1),PHAGE_Lister_LP_101_NC_024387(1),PHAGE_Strept_M102AD_NC_028984(1),PHAGE_Lactob_JCL1032_NC_019456(1),PHAGE_Lactoc_949_NC_015263(1),PHAGE_Lactoc_r1t_NC_004302(1),PHAGE_Lactob_phiadh_NC_000896(1),PHAGE_Lactoc_phiL47_NC_023574(1),PHAGE_Lister_LP_030_2_NC_021539(1),PHAGE_Lactoc_WRP3_NC_027341(1),PHAGE_Lactob_Lv_1_NC_011801(1)	NA		Outlier	NA	NA	NA	NA	NA		#VALUE!		Lactobacillus	NA	NA	NA	NA
contig_2243	8265	20	Y	TRUE	virus	lytic	low quality draft	questionable(70)	tail,plate	7	6	PHAGE_Bacill_phiNIT1_NC_021856(1),PHAGE_Bacill_Grass_NC_022771(1),PHAGE_Bacill_Blue_NC_031056(1),PHAGE_Entero_phiEF24C_NC_009904(1),PHAGE_Entero_EFLK1_NC_029026(1),PHAGE_Bacill_vB_BceM_Bc431v3_NC_020873(1),PHAGE_Bacill_JBP901_NC_027352(1),PHAGE_Entero_EFDG1_NC_029009(1),PHAGE_Bacill_BCP8_2_NC_027355(1),PHAGE_Entero_ECP3_NC_027335(1),PHAGE_Lactob_Lb338_1_NC_012530(1),PHAGE_Bacill_BM15_NC_042140(1),PHAGE_Bacill_Bcp1_NC_024137(1)	None		Outlier	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
contig_2512	6472	391	N	TRUE	virus	lysogenic	low quality draft	incomplete(20)	integrase	6	6	PHAGE_Bacter_APSE_2_NC_011551(2),PHAGE_Xylell_Xfas53_NC_013599(2),PHAGE_Burkho_BcepC6B_NC_005887(2),PHAGE_Bordet_BPP_1_NC_005357(2),PHAGE_Endosy_APSE_1_NC_000935(2),PHAGE_Crocei_P2559Y_NC_023614(2),PHAGE_Strept_Sfi19_NC_000871(1),PHAGE_Bacill_Bobb_NC_024792(1),PHAGE_Entero_phi92_NC_023693(1),PHAGE_Shigel_Sf6_NC_005344(1),PHAGE_Cellul_phi18:1_NC_021790(1),PHAGE_Lactob_LfeInf_NC_029058(1),PHAGE_Pseudo_Noxifer_NC_041994(1),PHAGE_Erwini_phiEt88_NC_015295(1),PHAGE_Cellul_phi18:3_NC_021794(1),PHAGE_Bacill_Bp8p_C_NC_029121(1),PHAGE_Entero_HK633_NC_019719(1),PHAGE_Bacill_phiAGATE_NC_020081(1)	None		Outlier	NA	NA	NA	NA	NA		#VALUE!		Gilliamella	Gilliamella apicola	NA	NA	Gilliamella
contig_2815	5428	239	N	TRUE	virus	lysogenic	low quality draft	incomplete(20)	integrase	9	6	PHAGE_Lactob_phiadh_NC_000896(3),PHAGE_Lactob_JCL1032_NC_019456(2),PHAGE_Lactob_phiJB_NC_022775(2),PHAGE_Salmon_vB_SemP_Emek_NC_018275(1),PHAGE_Bacill_Kida_NC_031012(1),PHAGE_Strept_phiARI0746_NC_031907(1),PHAGE_Strept_MM1_NC_003050(1),PHAGE_Bacill_Nigalana_NC_031037(1),PHAGE_Bacill_1_NC_009737(1),PHAGE_Lactoc_bIL311_NC_002670(1),PHAGE_Lister_LP_101_NC_024387(1),PHAGE_Thermo_THSA_485A_NC_018264(1),PHAGE_Clostr_CDMH1_NC_024144(1),PHAGE_Bacill_Nemo_NC_031070(1),PHAGE_Paenib_Tripp_NC_028930(1),PHAGE_Lactob_Lj771_NC_010179(1),PHAGE_Lactob_Lv_1_NC_011801(1),PHAGE_Lister_LP_030_2_NC_021539(1),PHAGE_Geobac_GBSV1_NC_008376(1)	None		Outlier	NA	NA	NA	NA	NA		#VALUE!		Lactobacillus	Lactobacillus sp	NA	NA	Lactobacillus
contig_2891	5913	48	N	TRUE	virus	lytic	low quality draft	incomplete(30)	plate	6	6	PHAGE_Vibrio_X29_NC_024369(4),PHAGE_Burkho_phiE255_NC_009237(3),PHAGE_Bacter_Lily_NC_028841(3),PHAGE_Burkho_BcepMu_NC_005882(3),PHAGE_Ralsto_RSY1_NC_025115(2),PHAGE_Rhizob_RR1_B_NC_021557(1),PHAGE_Ralsto_RSA1_NC_009382(1),PHAGE_Erwini_ENT90_NC_019932(1),PHAGE_Pseudo_PPpW_3_NC_023006(1),PHAGE_Burkho_KL3_NC_015266(1)	None		Outlier	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
contig_1696	2971	56	N	TRUE	virus	lytic	low quality draft	incomplete(30)	head	7	7	PHAGE_Lactob_phiadh_NC_000896(3),PHAGE_Strept_DT1_NC_002072(2),PHAGE_Lactob_phiAT3_NC_005893(2),PHAGE_Lactob_Lv_1_NC_011801(2),PHAGE_Strept_Sfi19_NC_000871(1),PHAGE_Strept_YMC_2011_NC_018285(1),PHAGE_Lactob_Lc_Nu_NC_007501(1),PHAGE_Strept_7201_NC_002185(1)	NA		Outlier	NA	NA	NA	NA	NA		#VALUE!		Lactobacillus	NA	NA	NA	NA
contig_1975	5832	26	N	TRUE	virus	lytic	low quality draft	incomplete(20)	terminase	8	7	PHAGE_Lister_B054_NC_009813(4),PHAGE_Lactob_LBR48_NC_027990(3),PHAGE_Lactob_PLE3_NC_031125(1),PHAGE_Lactob_KC5a_NC_007924(1),PHAGE_Lactob_phiPYB5_NC_027982(1),PHAGE_Psychr_pOW20_A_NC_020841(1),PHAGE_Synech_S_CBS4_NC_016766(1),PHAGE_Lactoc_98201_NC_031064(1),PHAGE_Klebsi_Sushi_NC_028774(1),PHAGE_Lactob_phig1e_NC_004305(1),PHAGE_Edward_PEi21_NC_021342(1),PHAGE_Klebsi_KLPN1_NC_028760(1),PHAGE_Lactoc_28201_NC_031013(1),PHAGE_Edward_MSW_3_NC_020082(1)	None		Outlier	NA	NA	NA	NA	NA		#VALUE!			NA	NA	NA	NA
contig_2584	7811	26	N	TRUE	virus	lytic	medium quality draft	incomplete(50)	capsid,terminase	9	7	PHAGE_Vibrio_K139_NC_003313(4),PHAGE_Aeromo_phiO18P_NC_009542(4),PHAGE_Vibrio_8_NC_022747(4),PHAGE_Haemop_HP1_NC_001697(3),PHAGE_Haemop_HP2_NC_003315(3),PHAGE_Pasteu_F108_NC_008193(2),PHAGE_Entero_P88_NC_026014(1),PHAGE_Burkho_KS5_NC_015265(1),PHAGE_Salmon_SEN5_NC_028701(1),PHAGE_Pseudo_phiCTX_NC_003278(1),PHAGE_Burkho_phiE202_NC_009234(1)	None		Outlier	NA	NA	NA	NA	NA		#VALUE!		Gilliamella	Gilliamella apicola	NA	NA	Gilliamella
contig_2679	8196	26	N	TRUE	virus	lytic	low quality draft	incomplete(50)	head,protease,portal,tail	8	7	PHAGE_Lactob_phiadh_NC_000896(4),PHAGE_Lactoc_lato_NC_004746(3),PHAGE_Lactob_Sha1_NC_019489(3),PHAGE_Strept_7201_NC_002185(3),PHAGE_Lactoc_BK5_T_NC_002796(3),PHAGE_Strept_YMC_2011_NC_018285(2),PHAGE_Strept_Sfi21_NC_000872(2),PHAGE_Lactoc_bIL286_NC_002667(2),PHAGE_Lactob_LBR48_NC_027990(1),PHAGE_Strept_DT1_NC_002072(1),PHAGE_Strept_Abc2_NC_013645(1),PHAGE_Lactob_LF1_NC_019486(1),PHAGE_Lactob_Ldl1_NC_026609(1)	None		Outlier	NA	NA	NA	NA	NA		#VALUE!		Lactobacillus	NA	NA	NA	NA
