CONTIG	REGION	REGION_LENGTH	COMPLETENESS(score)	SPECIFIC_KEYWORD	REGION_POSITION	TRNA_NUM	TOTAL_PROTEIN_NUM	PHAGE_HIT_PROTEIN_NUM	HYPOTHETICAL_PROTEIN_NUM	PHAGE+HYPO_PROTEIN_PERCENTAGE	BACTERIAL_PROTEIN_NUM	ATT_SITE_SHOWUP	PHAGE_SPECIES_NUM	MOST_COMMON_PHAGE_NAME(hit_genes_count)	FIRST_MOST_COMMON_PHAGE_NUM	FIRST_MOST_COMMON_PHAGE_PERCENTAGE	GC_PERCENTAGE
>contig_138	1	12.2Kb	incomplete(20)	head	3773-16021	0	23	11	12	100%	0	yes	5	PHAGE_Paraco_Shpa_NC_041868(3),PHAGE_Sinorh_phiLM21_NC_029046(3),PHAGE_Brucel_BiPBO1_NC_031264(2),PHAGE_Acinet_vB_AbaS_TRS1_NC_031098(1),PHAGE_Escher_vB_EcoM_ep3_NC_025430(1),PHAGE_Salmon_vB_SemP_Emek_NC_018275(1),PHAGE_Rhizob_RR1_A_NC_021560(1),PHAGE_Entero_933W_NC_000924(1),PHAGE_Escher_vB_EcoM_ECO1230_10_NC_027995(1),PHAGE_Entero_Min27_NC_010237(1),PHAGE_Azospi_Cd_NC_010355(1),PHAGE_Thermu_P2345_NC_009803(1),PHAGE_Salmon_SEN5_NC_028701(1),PHAGE_Edward_GF_2_NC_026611(1),PHAGE_Agroba_Atu_ph07_NC_042013(1),PHAGE_Xantho_CP2_NC_020205(1),PHAGE_Shigel_SfII_NC_021857(1),PHAGE_Pseudo_vB_PaeP_Tr60_Ab31_NC_023575(1),PHAGE_Stx2_c_1717_NC_011357(1),PHAGE_Pseudo_YMC11/02/R656_NC_028657(1),PHAGE_Salmon_SEN4_NC_029015(1),PHAGE_Vibrio_X29_NC_024369(1),PHAGE_Salmon_BTP1_NC_042346(1),PHAGE_Rhodob_RcapNL_NC_020489(1)	4	13.04%	44.72%
>contig_138	2	30.8Kb	incomplete(30)	lysin	21672-52496	0	29	14	15	100%	0	yes	9	PHAGE_Brucel_BiPBO1_NC_031264(4),PHAGE_Flavob_1H_NC_031911(2),PHAGE_Mycoba_Gaia_NC_026590(2),PHAGE_Gordon_Wizard_NC_030913(2),PHAGE_Lactob_phiAQ113_NC_019782(2),PHAGE_Flavob_23T_NC_041859(2),PHAGE_Rhizob_RR1_A_NC_021560(2),PHAGE_Flavob_2A_NC_031926(2),PHAGE_Escher_vB_EcoM_ep3_NC_025430(1),PHAGE_Vibrio_VP5_NC_005891(1),PHAGE_Mycoba_Liefie_NC_023705(1),PHAGE_Rhodoc_REQ3_NC_016654(1),PHAGE_Staphy_B166_NC_028859(1),PHAGE_Mycoba_Leo_NC_021556(1),PHAGE_Escher_vB_EcoM_ECO1230_10_NC_027995(1),PHAGE_Mycoba_Charlie_NC_023729(1),PHAGE_Erwini_phiEt88_NC_015295(1),PHAGE_Azospi_Cd_NC_010355(1),PHAGE_Propio_Stormborn_NC_027622(1),PHAGE_Escher_TL_2011b_NC_019445(1),PHAGE_Vibrio_VBM1_NC_020850(1),PHAGE_Salini_M1EM_1_NC_042348(1),PHAGE_Vibrio_QH_NC_027397(1),PHAGE_Salini_M8CR30_2_NC_042350(1),PHAGE_Mycoba_Redno2_NC_022066(1),PHAGE_Propio_PHL194M00_NC_027392(1),PHAGE_Vibrio_VP2_NC_005879(1),PHAGE_Pseudo_YMC11/07/P54_PAE_BP_NC_030909(1),PHAGE_Escher_vB_EcoM_ECOO78_NC_041926(1),PHAGE_Paraco_Shpa_NC_041868(1),PHAGE_Salmon_SEN4_NC_029015(1),PHAGE_Entero_HK225_NC_019717(1),PHAGE_Rhodob_RcapNL_NC_020489(1),PHAGE_Mycoba_Angel_NC_012788(1),PHAGE_Pseudo_PAJU2_NC_011373(1),PHAGE_Mycoba_Minerva_NC_026584(1),PHAGE_Vibrio_J2_NC_027393(1),PHAGE_Mycoba_Sneeze_NC_031102(1),PHAGE_Mycoba_Tortellini_NC_041888(1),PHAGE_Aurant_AmM_1_NC_027334(1),PHAGE_Salmon_SEN5_NC_028701(1),PHAGE_Rhizob_16_3_NC_011103(1),PHAGE_Mycoba_Halo_NC_008202(1),PHAGE_Vibrio_phiVC8_NC_027118(1),PHAGE_Staphy_phiNM_NC_008583(1),PHAGE_Staphy_TEM123_NC_017968(1),PHAGE_Mycoba_Optimus_NC_041844(1),PHAGE_Propio_PHL025M00_NC_027357(1),PHAGE_Salmon_SPN1S_NC_016761(1),PHAGE_Flavob_FCL_2_NC_027125(1),PHAGE_Pseudo_PS_1_NC_029066(1),PHAGE_Mycoba_FlagStaff_NC_028861(1)	4	13.79%	43.13%
>contig_1746	1	16.6Kb	incomplete(10)	NA	765-17433	0	22	22	0	100%	0	no	6	PHAGE_Pseudo_JBD67_NC_042135(9),PHAGE_Pseudo_vB_PaeS_PM105_NC_028667(8),PHAGE_Pseudo_B3_NC_006548(8),PHAGE_Pseudo_JBD18_NC_027986(7),PHAGE_Pseudo_JBD25_NC_027992(4),PHAGE_Salmon_118970_sal1_NC_031930(3),PHAGE_Proteu_pPM_01_NC_028812(2),PHAGE_Entero_Enc34_NC_019524(2),PHAGE_Pseudo_SM1_NC_041877(2),PHAGE_Salmon_Chi_NC_021315(2),PHAGE_Pseudo_MP22_NC_009818(2),PHAGE_Pseudo_JBD88a_NC_020200(2),PHAGE_Salmon_37_NC_029045(1),PHAGE_Burkho_KS10_NC_011216(1),PHAGE_Pseudo_JBD69_NC_030908(1),PHAGE_Entero_phi80_NC_021190(1),PHAGE_Pseudo_PA1phi_NC_023700(1),PHAGE_Pseudo_JBD30_NC_020198(1),PHAGE_Pseudo_DMS3_NC_008717(1),PHAGE_Vibrio_VpKK5_NC_026610(1),PHAGE_Salmon_Fels_1_NC_010391(1),PHAGE_Burkho_BcepNazgul_NC_005091(1),PHAGE_Pseudo_PaMx74_NC_028809(1),PHAGE_Entero_c_1_NC_019706(1),PHAGE_Entero_mEp213_NC_019720(1),PHAGE_Salmon_Chi_NC_025442(1),PHAGE_Pseudo_MP38_NC_011611(1),PHAGE_Pseudo_MP48_NC_024782(1),PHAGE_Pseudo_FHA0480_NC_041851(1),PHAGE_Provid_Redjac_NC_018832(1),PHAGE_Pseudo_PaMx28_NC_028931(1),PHAGE_Salmon_BP12C_NC_031228(1)	7	40.9%	37.99%
>contig_149	1	17Kb	intact(150)	tail,capsid,head	1940-18970	0	44	22	22	100%	0	no	3	PHAGE_Lactob_jlb1_NC_024206(7),PHAGE_Lactob_KC5a_NC_007924(7),PHAGE_Lactob_phiAQ113_NC_019782(7),PHAGE_Lactob_Lj771_NC_010179(7),PHAGE_Strept_EJ_1_NC_005294(3),PHAGE_Clostr_phiCT453A_NC_028991(2),PHAGE_Lactob_Lj928_NC_005354(2),PHAGE_Strept_20617_NC_023503(1),PHAGE_Lister_A118_NC_003216(1),PHAGE_Lactob_phig1e_NC_004305(1),PHAGE_Strept_2972_NC_007019(1),PHAGE_Strept_A25_NC_028697(1),PHAGE_Brevib_Jimmer2_NC_041976(1),PHAGE_Lactoc_Tuc2009_NC_002703(1),PHAGE_Strept_Alq132_NC_013598(1),PHAGE_Entero_phiFL2A_NC_013643(1),PHAGE_Bacill_250_NC_029024(1),PHAGE_Strept_5093_NC_012753(1),PHAGE_Entero_phiFL1A_NC_013646(1)	20	15.9%	39.38%
>contig_2601	1	8.2Kb	incomplete(10)	NA	37-8250	0	11	8	3	100%	0	no	3	PHAGE_Shigel_Ss_VASD_NC_028685(3),PHAGE_Entero_VT2phi_272_NC_028656(3),PHAGE_Escher_TL_2011c_NC_019442(3),PHAGE_Escher_P13374_NC_018846(3),PHAGE_Xantho_Xop411_NC_009543(2),PHAGE_Escher_PA2_NC_028449(2),PHAGE_Escher_phi191_NC_028660(2),PHAGE_Pseudo_PPpW_3_NC_023006(1),PHAGE_Salmon_vB_SenS_Ent3_NC_024204(1),PHAGE_Xantho_CP1_NC_019933(1),PHAGE_Salmon_Fels_1_NC_010391(1),PHAGE_Salmon_SETP3_NC_009232(1),PHAGE_Salmon_SS3e_NC_006940(1),PHAGE_Klebsi_vB_KpnM_KpV52_NC_041900(1),PHAGE_Salmon_Jersey_NC_021777(1),PHAGE_Salmon_wksl3_NC_041992(1)	6	27.27%	35.43%
>contig_1517	1	60.8Kb	intact(150)	capsid,lysin,fiber,tail	9409-70209	0	91	51	40	100%	0	no	9	PHAGE_Lactob_Lv_1_NC_011801(8),PHAGE_Lactob_phiadh_NC_000896(7),PHAGE_Entero_EF62phi_NC_017732(4),PHAGE_Lactob_JCL1032_NC_019456(3),PHAGE_Lister_vB_LmoS_293_NC_028929(3),PHAGE_Lister_LP_030_3_NC_024384(3),PHAGE_Lactob_Lj965_NC_005355(2),PHAGE_Lister_A118_NC_003216(2),PHAGE_Lactob_LF1_NC_019486(2),PHAGE_Lactob_Lc_Nu_NC_007501(2),PHAGE_Lactob_phiAT3_NC_005893(2),PHAGE_Lactoc_lato_NC_004746(1),PHAGE_Staphy_42E_NC_007052(1),PHAGE_Paenib_Harrison_NC_028746(1),PHAGE_Strept_Sfi21_NC_000872(1),PHAGE_Arthro_Colucci_NC_042000(1),PHAGE_Staphy_96_NC_007057(1),PHAGE_Natria_PhiCh1_NC_004084(1),PHAGE_Temper_phiNIH1.1_NC_003157(1),PHAGE_Brevib_Sundance_NC_028749(1),PHAGE_Strept_315.2_NC_004585(1),PHAGE_Bacill_vB_BhaS_171_NC_030904(1),PHAGE_Lactob_iLp84_NC_028783(1),PHAGE_Paenib_Shelly_NC_041909(1),PHAGE_Strept_YMC_2011_NC_018285(1),PHAGE_Strept_Sfi19_NC_000871(1),PHAGE_Strept_DT1_NC_002072(1),PHAGE_Clostr_phiCD146_NC_028958(1),PHAGE_Strept_Abc2_NC_013645(1),PHAGE_Lactob_J_1_NC_022756(1),PHAGE_Clostr_phiCT19406C_NC_029006(1),PHAGE_Strept_PH15_NC_010945(1),PHAGE_Strept_315.4_NC_004587(1),PHAGE_Lactob_PLE3_NC_031125(1),PHAGE_Lactob_LBR48_NC_027990(1),PHAGE_Clostr_phiCD38_2_NC_015568(1),PHAGE_Lactoc_bIL309_NC_002668(1),PHAGE_Bacter_Lily_NC_028841(1),PHAGE_Arthro_PrincessTrina_NC_042053(1),PHAGE_Mycoba_Adler_NC_023591(1),PHAGE_Staphy_StauST398_3_NC_021332(1),PHAGE_Paenib_Xenia_NC_028837(1),PHAGE_Lactob_Ldl1_NC_026609(1),PHAGE_Lactob_PL_1_NC_022757(1),PHAGE_Strept_7201_NC_002185(1),PHAGE_Strept_M102_NC_012884(1),PHAGE_Lactob_phiJB_NC_022775(1),PHAGE_Lactob_Lj771_NC_010179(1),PHAGE_Staphy_P954_NC_013195(1),PHAGE_Staphy_Ipla88_NC_011614(1)	21	8.79%	37.15%
>contig_2894	1	25.9Kb	questionable(70)	capsid,head,terminase	2348-28261	0	32	23	9	100%	0	no	8	PHAGE_Pseudo_DL60_NC_028745(6),PHAGE_Burkho_BcepB1A_NC_005886(6),PHAGE_Pseudo_F8_NC_007810(5),PHAGE_Pseudo_PB1_NC_011810(5),PHAGE_Escher_ECML_117_NC_025441(5),PHAGE_Shewan_1/41_NC_025458(4),PHAGE_Pseudo_JG024_NC_017674(4),PHAGE_Pseudo_tabernarius_NC_042092(3),PHAGE_Pseudo_PA5_NC_041902(2),PHAGE_Pseudo_LMA2_NC_011166(2),PHAGE_Pseudo_phiKTN6_NC_041865(2),PHAGE_Pseudo_vB_PaeM_E217_NC_042079(2),PHAGE_Burkho_BcepF1_NC_009015(1),PHAGE_Pseudo_vB_PaeM_E215_NC_042080(1),PHAGE_Mannhe_vB_MhS_1152AP2_NC_028956(1),PHAGE_Pseudo_NH_4_NC_019451(1),PHAGE_Haemop_Aaphi23_NC_004827(1),PHAGE_Marino_P12026_NC_018269(1),PHAGE_Pseudo_KPP12_NC_019935(1),PHAGE_Pseudo_LBL3_NC_011165(1),PHAGE_Bdello_phi1422_NC_019525(1),PHAGE_Clostr_phiCTP1_NC_014457(1),PHAGE_Pseudo_vB_Pae_PS44_NC_028939(1),PHAGE_Salmon_vB_SosS_Oslo_NC_018279(1),PHAGE_Pseudo_vB_PaeM_CEB_DP1_NC_041870(1),PHAGE_Aggreg_S1249_NC_013597(1),PHAGE_Salmon_SPN3UB_NC_019545(1),PHAGE_Entero_ES18_NC_006949(1)	10	18.75%	43.07%
>contig_2289	1	37.4Kb	intact(150)	tail,plate,head,lysin,integrase	50-37462	0	59	50	9	100%	0	yes	19	PHAGE_Salmon_Fels_2_NC_010463(9),PHAGE_Salmon_RE_2010_NC_019488(8),PHAGE_Entero_186_NC_001317(8),PHAGE_Burkho_KS5_NC_015265(7),PHAGE_Entero_PsP3_NC_005340(6),PHAGE_Salmon_SEN1_NC_029003(6),PHAGE_Escher_P2_NC_041848(6),PHAGE_Escher_pro483_NC_028943(6),PHAGE_Salmon_SEN4_NC_029015(5),PHAGE_Burkho_KS14_NC_015273(5),PHAGE_Salmon_SEN5_NC_028701(5),PHAGE_Ralsto_RSA1_NC_009382(4),PHAGE_Erwini_ENT90_NC_019932(4),PHAGE_Salmon_SP_004_NC_021774(3),PHAGE_Entero_WPhi_NC_005056(3),PHAGE_Yersin_L_413C_NC_004745(3),PHAGE_Burkho_KL3_NC_015266(3),PHAGE_Ralsto_RSY1_NC_025115(3),PHAGE_Burkho_ST79_NC_021343(3),PHAGE_Pseudo_phiCTX_NC_003278(2),PHAGE_Entero_fiAA91_ss_NC_022750(2),PHAGE_Escher_pro147_NC_028896(2),PHAGE_Entero_P2_NC_001895(2),PHAGE_Bacter_APSE_2_NC_011551(1),PHAGE_Entero_Tyrion_NC_031077(1),PHAGE_Endosy_APSE_1_NC_000935(1),PHAGE_Entero_lambda_NC_001416(1),PHAGE_Escher_TL_2011b_NC_019445(1),PHAGE_Entero_HK106_NC_019768(1),PHAGE_Entero_HK629_NC_019711(1),PHAGE_Haemop_HP2_NC_003315(1),PHAGE_Vibrio_8_NC_022747(1),PHAGE_Klebsi_Matisse_NC_028750(1),PHAGE_Burkho_phi52237_NC_007145(1),PHAGE_Achrom_JWX_NC_028768(1),PHAGE_Vibrio_K139_NC_003313(1),PHAGE_Burkho_KS9_NC_013055(1),PHAGE_Entero_phiEap_3_NC_041980(1),PHAGE_Entero_HK97_NC_002167(1),PHAGE_Mannhe_vB_MhM_587AP1_NC_028898(1),PHAGE_Pseudo_PPpW_3_NC_023006(1),PHAGE_Achrom_83_24_NC_028834(1),PHAGE_Pseudo_phi3_NC_030940(1),PHAGE_Klebsi_Miro_NC_041981(1),PHAGE_Burkho_phiE12_2_NC_009236(1),PHAGE_Mannhe_phiMHaA1_NC_008201(1),PHAGE_Yersin_phiR1_37_NC_016163(1),PHAGE_Entero_P88_NC_026014(1),PHAGE_Pseudo_PaBG_NC_022096(1),PHAGE_Salmon_BP63_NC_031250(1),PHAGE_Entero_HK630_NC_019723(1),PHAGE_Salmon_SPN1S_NC_016761(1),PHAGE_Salmon_epsilon15_NC_004775(1),PHAGE_Burkho_phiE202_NC_009234(1)	16	15.25%	36.32%
>contig_2240	1	23.8Kb	incomplete(60)	tail,head,virion,portal,transposase	14334-38220	0	38	23	15	100%	0	no	8	PHAGE_Rhodov_RS1_NC_020866(11),PHAGE_Rhodob_RC1_NC_020839(10),PHAGE_Vibrio_12B12_NC_021070(8),PHAGE_Rhodov_vB_RhkS_P1_NC_031059(7),PHAGE_Rhodob_RcapMu_NC_016165(6),PHAGE_Pseudo_JBD25_NC_027992(6),PHAGE_Escher_D108_NC_013594(5),PHAGE_Rhizob_RR1_B_NC_021557(4),PHAGE_Entero_Mu_NC_000929(3),PHAGE_Burkho_BcepMu_NC_005882(3),PHAGE_Pseudo_B3_NC_006548(3),PHAGE_Entero_SfMu_NC_027382(3),PHAGE_Mannhe_vB_MhM_3927AP2_NC_028766(2),PHAGE_Burkho_KS10_NC_011216(2),PHAGE_Ralsto_RS138_NC_029107(2),PHAGE_Halomo_phiHAP_1_NC_010342(1),PHAGE_Bacill_BalMu_1_NC_030945(1),PHAGE_Pseudo_MP29_NC_011613(1),PHAGE_Pseudo_vB_PaeS_PM105_NC_028667(1),PHAGE_Pseudo_JD024_NC_024330(1),PHAGE_Gordon_Twister6_NC_031052(1),PHAGE_Pseudo_LPB1_NC_027298(1),PHAGE_Salmon_SEN4_NC_029015(1),PHAGE_Clostr_c_st_NC_007581(1),PHAGE_Haemop_SuMu_NC_019455(1),PHAGE_Salmon_SEN5_NC_028701(1),PHAGE_Pseudo_JBD18_NC_027986(1),PHAGE_Pseudo_FHA0480_NC_041851(1),PHAGE_Pseudo_D3112_NC_005178(1),PHAGE_Burkho_phiE255_NC_009237(1),PHAGE_Clostr_phiCD211_NC_029048(1),PHAGE_Pseudo_PS_1_NC_029066(1)	11	28.94%	48.89%
>contig_2640	1	32Kb	intact(150)	tail,plate,capsid,head,portal,terminase	120-32168	0	55	39	16	100%	0	no	16	PHAGE_Vibrio_X29_NC_024369(16),PHAGE_Bacter_Lily_NC_028841(14),PHAGE_Entero_N15_NC_001901(7),PHAGE_Burkho_BcepMu_NC_005882(7),PHAGE_Klebsi_phiKO2_NC_005857(6),PHAGE_Yersin_PY54_NC_005069(6),PHAGE_Burkho_phiE255_NC_009237(6),PHAGE_Rhizob_RR1_B_NC_021557(3),PHAGE_Vibrio_vB_VpaM_MAR_NC_019722(3),PHAGE_Vibrio_VP58.5_NC_027981(3),PHAGE_Cellul_phi18:1_NC_021790(2),PHAGE_Phage_Gifsy_1_NC_010392(2),PHAGE_Xylell_Salvo_NC_042345(2),PHAGE_Vibrio_VHML_NC_004456(2),PHAGE_Cronob_ENT47670_NC_019927(2),PHAGE_Aeromo_vB_AsaM_56_NC_019527(2),PHAGE_Xylell_Sano_NC_042344(2),PHAGE_Escher_vB_EcoM_ep3_NC_025430(1),PHAGE_Entero_P4_NC_001609(1),PHAGE_Cronob_vB_CsaM_GAP32_NC_019401(1),PHAGE_Entero_vB_KleM_RaK2_NC_019526(1),PHAGE_Escher_vB_EcoM_ECO1230_10_NC_027995(1),PHAGE_Shewan_1/41_NC_025458(1),PHAGE_Endosy_APSE_1_NC_000935(1),PHAGE_Yersin_L_413C_NC_004745(1),PHAGE_Entero_SfV_NC_003444(1),PHAGE_Entero_HK629_NC_019711(1),PHAGE_Entero_phi92_NC_023693(1),PHAGE_Synech_S_CBS3_NC_015465(1),PHAGE_Cronob_phiES15_NC_018454(1),PHAGE_Burkho_KS9_NC_013055(1),PHAGE_Escher_vB_EcoM_ECOO78_NC_041926(1),PHAGE_Burkho_KL3_NC_015266(1),PHAGE_Shigel_POCJ13_NC_025434(1),PHAGE_Entero_HK97_NC_002167(1),PHAGE_Erwini_ENT90_NC_019932(1),PHAGE_Escher_phiSUSP2_NC_028935(1),PHAGE_Pseudo_PPpW_3_NC_023006(1),PHAGE_Propio_PFR1_NC_031076(1),PHAGE_Achrom_83_24_NC_028834(1),PHAGE_Synech_S_CBS1_NC_016164(1),PHAGE_Stenot_S1_NC_011589(1),PHAGE_Escher_P2_NC_041848(1),PHAGE_Yersin_phiR1_37_NC_016163(1),PHAGE_Escher_4_NC_027364(1),PHAGE_Salini_M8CC_19_NC_042349(1),PHAGE_Escher_121Q_NC_025447(1),PHAGE_Bacter_APSE_2_NC_011551(1),PHAGE_Rueger_DSS3_P1_NC_025428(1),PHAGE_Vibrio_SHOU24_NC_023569(1),PHAGE_Cellul_phi18:3_NC_021794(1),PHAGE_Entero_lambda_NC_001416(1),PHAGE_Entero_HK106_NC_019768(1),PHAGE_Vibrio_VP882_NC_009016(1),PHAGE_Achrom_phiAxp_2_NC_029106(1),PHAGE_Crocei_P2559Y_NC_023614(1),PHAGE_Achrom_JWX_NC_028768(1),PHAGE_Paraco_Shpa_NC_041868(1),PHAGE_Shewan_3/49_NC_025466(1),PHAGE_Entero_phiP27_NC_003356(1),PHAGE_Pseudo_phiCTX_NC_003278(1),PHAGE_Entero_fiAA91_ss_NC_022750(1),PHAGE_Rhodob_RcapNL_NC_020489(1),PHAGE_Xantho_vB_XveM_DIBBI_NC_017981(1),PHAGE_Escher_phiSUSP1_NC_028808(1),PHAGE_Pectob_CBB_NC_041878(1),PHAGE_Burkho_ST79_NC_021343(1),PHAGE_Staphy_phi7401PVL_NC_020199(1),PHAGE_Lactob_Lc_Nu_NC_007501(1),PHAGE_Propio_PFR2_NC_031108(1),PHAGE_Synech_S_CBS2_NC_015463(1),PHAGE_Pseudo_PaBG_NC_022096(1),PHAGE_Entero_HK630_NC_019723(1),PHAGE_Shigel_Stx_NC_029120(1)	18	29.09%	40.15%
>contig_1900	1	8.7Kb	incomplete(30)	plate	998-9757	0	18	11	7	100%	0	no	9	PHAGE_Vibrio_VvAW1_NC_020488(2),PHAGE_Aeromo_pIS4_A_NC_042037(2),PHAGE_Vibrio_pYD38_A_NC_021534(2),PHAGE_Acinet_vB_AbaS_TRS1_NC_031098(1),PHAGE_Brucel_Tb_NC_019446(1),PHAGE_Cronob_vB_CsaM_GAP32_NC_019401(1),PHAGE_Shigel_Sf6_NC_005344(1),PHAGE_Pseudo_F116_NC_006552(1),PHAGE_Gordon_Bantam_NC_031074(1),PHAGE_Cronob_vB_CsaM_GAP31_NC_019400(1),PHAGE_Pseudo_PPpW_3_NC_023006(1),PHAGE_Staphy_K_NC_005880(1),PHAGE_Escher_RCS47_NC_042128(1),PHAGE_Bacill_BM5_NC_029069(1),PHAGE_Edward_GF_2_NC_026611(1),PHAGE_Crocei_P2559Y_NC_023614(1),PHAGE_Pseudo_MD8_NC_031091(1),PHAGE_Entero_phi92_NC_023693(1),PHAGE_Shigel_vB_SsoS_ISF002_NC_041995(1),PHAGE_Escher_K1ind1_NC_041897(1),PHAGE_Pseudo_phi297_NC_016762(1),PHAGE_Mycoba_Dorothy_NC_041855(1),PHAGE_Mycoba_Myrna_NC_011273(1),PHAGE_Burkho_phiE125_NC_003309(1),PHAGE_Pseudo_YMC11/07/P54_PAE_BP_NC_030909(1),PHAGE_Sinorh_phiLM21_NC_029046(1),PHAGE_Salmon_SJ46_NC_031129(1),PHAGE_Brucel_Pr_NC_019447(1),PHAGE_Entero_Ec_L1_NC_042122(1),PHAGE_Staphy_JD007_NC_019726(1),PHAGE_Brucel_BiPBO1_NC_031264(1)	2	11.11%	36.68%
>contig_1432	1	14.9Kb	incomplete(40)	plate,tail	6113-21092	0	8	8	0	100%	0	no	3	PHAGE_Lactob_Lb338_1_NC_012530(6),PHAGE_Entero_EFDG1_NC_029009(4),PHAGE_Entero_phiEF24C_NC_009904(3),PHAGE_Entero_ECP3_NC_027335(3),PHAGE_Entero_EFLK1_NC_029026(2),PHAGE_Bacill_phiNIT1_NC_021856(1),PHAGE_Staphy_phiIPLA_RODI_NC_028765(1),PHAGE_Staphy_S25_4_NC_022918(1),PHAGE_Staphy_phiIPLA_C1C_NC_028962(1),PHAGE_Lister_LMTA_34_NC_042048(1),PHAGE_Staphy_Twort_NC_007021(1),PHAGE_Staphy_phiIBB_SEP1_NC_041928(1),PHAGE_Bacill_JBP901_NC_027352(1),PHAGE_Lister_LMSP_25_NC_024360(1),PHAGE_Staphy_Stau2_NC_030933(1),PHAGE_Staphy_G1_NC_007066(1),PHAGE_Staphy_JD007_NC_019726(1),PHAGE_Staphy_MCE_2014_NC_025416(1)	6	75%	34.13%
>contig_1432	2	15.6Kb	incomplete(60)	tail,capsid,head,portal	21103-36801	0	15	12	3	100%	0	no	4	PHAGE_Lactob_Lb338_1_NC_012530(9),PHAGE_Entero_EFLK1_NC_029026(5),PHAGE_Entero_phiEF24C_NC_009904(5),PHAGE_Entero_ECP3_NC_027335(5),PHAGE_Entero_EFDG1_NC_029009(4),PHAGE_Lister_P100_NC_007610(3),PHAGE_Bacill_Moonbeam_NC_027374(2),PHAGE_Lister_LP_064_NC_041862(2),PHAGE_Lister_LMTA_34_NC_042048(2),PHAGE_Bacill_Bobb_NC_024792(1),PHAGE_Staphy_phiIPLA_RODI_NC_028765(1),PHAGE_Bacill_Riley_NC_024788(1),PHAGE_Staphy_vB_SauM_Romulus_NC_020877(1),PHAGE_Bacill_Eldridge_NC_030920(1),PHAGE_Staphy_phiIPLA_C1C_NC_028962(1),PHAGE_Staphy_Sb_1_NC_023009(1),PHAGE_Bacill_BCP78_NC_018860(1),PHAGE_Bacill_BM15_NC_042140(1),PHAGE_Bacill_Bcp1_NC_024137(1),PHAGE_Staphy_Twort_NC_007021(1),PHAGE_Brocho_A9_NC_015253(1),PHAGE_Staphy_phiSA012_NC_023573(1),PHAGE_Lister_List_36_NC_024364(1),PHAGE_Staphy_phiIBB_SEP1_NC_041928(1),PHAGE_Staphy_vB_SauM_Remus_NC_022090(1),PHAGE_Staphy_SA11_NC_019511(1),PHAGE_Bacill_JBP901_NC_027352(1),PHAGE_Staphy_Stau2_NC_030933(1),PHAGE_Bacill_BCP8_2_NC_027355(1),PHAGE_Staphy_MCE_2014_NC_025416(1)	9	60%	36.12%
>contig_1605	1	21.8Kb	questionable(80)	tail,capsid,head,integrase	9626-31459	0	30	19	11	100%	0	no	8	PHAGE_Mesorh_phagevB_MloP_Lo5R7ANS_NC_025431(10),PHAGE_Pelagi_HTVC019P_NC_020483(7),PHAGE_Ralsto_RSB2_NC_023736(5),PHAGE_Pelagi_HTVC011P_NC_020482(5),PHAGE_Vibrio_VP4_NC_007149(4),PHAGE_Vibrio_N4_NC_013651(3),PHAGE_Brucel_BiPBO1_NC_031264(3),PHAGE_Escher_P483_NC_028822(2),PHAGE_Morgan_MmP1_NC_011085(2),PHAGE_Delfti_IME_DE1_NC_028702(2),PHAGE_Vibrio_ICP3_NC_015159(2),PHAGE_Acinet_vB_AbaS_TRS1_NC_031098(1),PHAGE_Entero_BA14_NC_011040(1),PHAGE_Morgan_vB_MmoP_MP2_NC_031115(1),PHAGE_Pseudo_PMG1_NC_016765(1),PHAGE_Azospi_Cd_NC_010355(1),PHAGE_Synech_S_RIP2_NC_020838(1),PHAGE_Cyanop_KBS_P_1A_NC_020865(1),PHAGE_Cyanop_NATL1A_7_NC_016658(1),PHAGE_Yersin_Yepe2_NC_011038(1),PHAGE_Synech_S_CBP3_NC_025461(1),PHAGE_Strept_phiCAM_NC_041856(1),PHAGE_Erwini_FE44_NC_022744(1),PHAGE_Prochl_P_SSP3_NC_020874(1),PHAGE_Cyanop_P_SSP2_NC_016656(1),PHAGE_Pseudo_YMC11/02/R656_NC_028657(1),PHAGE_Escher_LM33_P1_NC_031937(1),PHAGE_Salmon_SEN4_NC_029015(1),PHAGE_Yersin_Yep_phi_NC_023715(1),PHAGE_Escher_P694_NC_028863(1),PHAGE_Cyanop_PSS2_NC_013021(1),PHAGE_Strept_Danzina_NC_041860(1),PHAGE_Strept_Zemlya_NC_021339(1),PHAGE_Synech_S_CBP42_NC_029031(1),PHAGE_Strept_BillNye_NC_042105(1),PHAGE_Salmon_SEN5_NC_028701(1),PHAGE_Podovi_Lau218_NC_024329(1),PHAGE_Entero_285P_NC_015249(1),PHAGE_Salmon_118970_sal3_NC_031940(1),PHAGE_Pseudo_D3_NC_002484(1),PHAGE_Pseudo_PPPL_1_NC_028661(1),PHAGE_Prochl_P_SSP7_NC_006882(1),PHAGE_Citrob_CR44b_NC_023576(1)	11	33.33%	42.54%
