scaffold	length	cov	circ	repeat.	mult	alt_grp	graph_path	prediction	type	Quality	COMPLETENESS.score.	SPECIFIC_KEYWORD	TOTAL_PROTEIN_NUM	PHAGE_HIT_PROTEIN_NUM	ATT_SITE_SHOWUP	MOST_COMMON_PHAGE_NAME.hit_genes_count.	engel_match_per	matt_match_len	engel_match_len	matt_match	engel_match	matt_match_per	match
contig_1399	635	9	N	Y	1	*	1399	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	337	NA	MN855634	NA	87.24	matthijnssen
contig_14	3616	74	N	N	1	*	*,14,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1403	12826	112	N	N	1	*	*,1403,*	virus	lytic	low quality draft	incomplete(50)	plate,lysin	28	15	no	PHAGE_Lactob_Lv_1_NC_011801(4),PHAGE_Lactob_phiadh_NC_000896(3),PHAGE_Lactob_LBR48_NC_027990(2),PHAGE_Lactob_Lj771_NC_010179(2),PHAGE_Lactob_Lj965_NC_005355(1),PHAGE_Psychr_pOW20_A_NC_020841(1),PHAGE_Lactoc_KSY1_NC_009817(1),PHAGE_Deep_s_D6E_NC_019544(1),PHAGE_Lactob_JCL1032_NC_019456(1),PHAGE_Lactoc_949_NC_015263(1),PHAGE_Lactob_LfeSau_NC_029068(1),PHAGE_Bacill_Zuko_NC_031116(1),PHAGE_Lactob_jlb1_NC_024206(1),PHAGE_Lister_LMTA_34_NC_042048(1),PHAGE_Entero_LY0322_NC_042125(1),PHAGE_Lactoc_phiL47_NC_023574(1),PHAGE_Entero_vB_IME196_NC_028990(1),PHAGE_Bacill_DIGNKC_NC_031006(1),PHAGE_Lactob_KC5a_NC_007924(1),PHAGE_Lister_B054_NC_009813(1),PHAGE_Halovi_HRTV_8_NC_021321(1),PHAGE_Lactoc_r1t_NC_004302(1),PHAGE_Lister_LMSP_25_NC_024360(1),PHAGE_Lactob_phiAQ113_NC_019782(1),PHAGE_Lactoc_WRP3_NC_027341(1)	88.4375	1697.5	1161.16666666667	MN855735	JAAOBB010000029.1	85.71125	both
contig_1404	5781	123	N	Y	6	*	1404	virus	lysogenic	low quality draft	NA	NA	NA	NA	NA	NA	82.59	1894	471	MN855590	JAAOBB010000175.1	92.555	both
contig_1405	30180	22	N	N	1	*	*,1405,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1406	98	18	N	Y	1	*	1406	NA	NA	NA	NA	NA	NA	NA	NA	NA	91.919	58	99	MN855671	JAAOBB010000022.1	98.276	both
contig_1407	900	83	N	Y	83	*	1407	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	461	NA	MN855695	NA	96.963	matthijnssen
contig_1408	1879	74	N	Y	74	*	1408	NA	NA	NA	NA	NA	NA	NA	NA	NA	89.1	917	411.5	MN855955	JAAOBB010000022.1	87.241	both
contig_1409	9235	9	N	N	1	*	1409,2653	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	89.31425	1834.75	886.5	MN855739	JAAOBB010000022.1	89.0785	both
contig_1410	522	11	N	Y	1	*	1410	NA	NA	NA	NA	NA	NA	NA	NA	NA	83.696	238	92	MN855671	JAAOBB010000022.1	95.798	both
contig_1415	17672	71	N	N	4	*	-1413,1411,1412,1415,1413,1414	organism	lysogenic	low quality draft	NA	NA	NA	NA	NA	NA	93.608	1124.66666666667	485	MN855739	JAAOBB010000149.1	88.1816666666667	both
contig_1416	622	336	Y	Y	3	18	1416	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	622	NA	MN855671	NA	98.714	matthijnssen
contig_1417	16350	14	N	N	1	*	*,1417,*	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1419	26421	69	N	N	1	*	-1418,1419,*	organism	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_142	1592	920	N	N	184	*	*,142,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	92.467	1594	1354	MN855671	JAAOBB010000022.1	93.601	both
contig_1420	1327	97	N	Y	1	*	1420	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1421	36150	93	N	N	1	*	1421,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1422	3757	37	N	Y	1	*	1422	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1424	24610	11	N	N	1	*	*,1424,*	plasmid	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1425	7513	697	N	Y	6	*	*,1425	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	96.2663333333333	1026.66666666667	636	MN855734	JAAOBB010000156.1	90.8063333333333	both
contig_1426	577	158	N	Y	1	*	1426	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	577	NA	MN855734	NA	99.133	matthijnssen
contig_1427	747	140	N	Y	1	*	1427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	320	NA	MN855585	NA	90.938	matthijnssen
contig_1428	10615	51	N	N	1	*	*,1428,*	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1429	64231	25	N	N	1	*	*,1429,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1430	49736	14	N	N	1	*	*,1430,*	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1431	16300	11	N	N	1	*	*,1431,*	virus	lytic	low quality draft	incomplete(40)	tail	7	6	no	PHAGE_Lactob_Lb338_1_NC_012530(3),PHAGE_Entero_EFLK1_NC_029026(2),PHAGE_Entero_phiEF24C_NC_009904(2),PHAGE_Entero_ECP3_NC_027335(2),PHAGE_Bacill_phiNIT1_NC_021856(1),PHAGE_Bacill_Grass_NC_022771(1),PHAGE_Bacill_Shbh1_NC_030925(1),PHAGE_Bacill_Moonbeam_NC_027374(1),PHAGE_Staphy_S25_4_NC_022918(1),PHAGE_Lister_LP_064_NC_041862(1),PHAGE_Bacill_Eldridge_NC_030920(1),PHAGE_Lister_LMTA_34_NC_042048(1),PHAGE_Lister_P100_NC_007610(1),PHAGE_Bacill_Mater_NC_027366(1),PHAGE_Staphy_Twort_NC_007021(1),PHAGE_Staphy_phiSA012_NC_023573(1),PHAGE_Lister_List_36_NC_024364(1),PHAGE_Entero_EFDG1_NC_029009(1),PHAGE_Staphy_Stau2_NC_030933(1),PHAGE_Staphy_MCE_2014_NC_025416(1),PHAGE_Staphy_JD007_NC_019726(1),PHAGE_Bacill_SIOphi_NC_042133(1)	93.299	2243	8118.5	MN856100	JAAOBB010000011.1	69.996	both
contig_1432	39391	509	N	N	5	*	1552,1552,-1552,1552,-1552,1552,-1552,1432,-1433,1433	virus	lytic	low quality draft	incomplete(40),incomplete(60)	plate,tail,tail,capsid,head,portal	8,15	8,12	no,no	PHAGE_Lactob_Lb338_1_NC_012530(6),PHAGE_Entero_EFDG1_NC_029009(4),PHAGE_Entero_phiEF24C_NC_009904(3),PHAGE_Entero_ECP3_NC_027335(3),PHAGE_Entero_EFLK1_NC_029026(2),PHAGE_Bacill_phiNIT1_NC_021856(1),PHAGE_Staphy_phiIPLA_RODI_NC_028765(1),PHAGE_Staphy_S25_4_NC_022918(1),PHAGE_Staphy_phiIPLA_C1C_NC_028962(1),PHAGE_Lister_LMTA_34_NC_042048(1),PHAGE_Staphy_Twort_NC_007021(1),PHAGE_Staphy_phiIBB_SEP1_NC_041928(1),PHAGE_Bacill_JBP901_NC_027352(1),PHAGE_Lister_LMSP_25_NC_024360(1),PHAGE_Staphy_Stau2_NC_030933(1),PHAGE_Staphy_G1_NC_007066(1),PHAGE_Staphy_JD007_NC_019726(1),PHAGE_Staphy_MCE_2014_NC_025416(1),PHAGE_Lactob_Lb338_1_NC_012530(9),PHAGE_Entero_EFLK1_NC_029026(5),PHAGE_Entero_phiEF24C_NC_009904(5),PHAGE_Entero_ECP3_NC_027335(5),PHAGE_Entero_EFDG1_NC_029009(4),PHAGE_Lister_P100_NC_007610(3),PHAGE_Bacill_Moonbeam_NC_027374(2),PHAGE_Lister_LP_064_NC_041862(2),PHAGE_Lister_LMTA_34_NC_042048(2),PHAGE_Bacill_Bobb_NC_024792(1),PHAGE_Staphy_phiIPLA_RODI_NC_028765(1),PHAGE_Bacill_Riley_NC_024788(1),PHAGE_Staphy_vB_SauM_Romulus_NC_020877(1),PHAGE_Bacill_Eldridge_NC_030920(1),PHAGE_Staphy_phiIPLA_C1C_NC_028962(1),PHAGE_Staphy_Sb_1_NC_023009(1),PHAGE_Bacill_BCP78_NC_018860(1),PHAGE_Bacill_BM15_NC_042140(1),PHAGE_Bacill_Bcp1_NC_024137(1),PHAGE_Staphy_Twort_NC_007021(1),PHAGE_Brocho_A9_NC_015253(1),PHAGE_Staphy_phiSA012_NC_023573(1),PHAGE_Lister_List_36_NC_024364(1),PHAGE_Staphy_phiIBB_SEP1_NC_041928(1),PHAGE_Staphy_vB_SauM_Remus_NC_022090(1),PHAGE_Staphy_SA11_NC_019511(1),PHAGE_Bacill_JBP901_NC_027352(1),PHAGE_Staphy_Stau2_NC_030933(1),PHAGE_Bacill_BCP8_2_NC_027355(1),PHAGE_Staphy_MCE_2014_NC_025416(1)	95.2425	1612.5	12033.5	MN856100	JAAOBB010000011.1	71.3785	both
contig_1436	15778	5	N	N	1	*	*,1436,*	plasmid	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1437	76327	97	N	N	1	*	-1553,1437,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1438	17094	11	N	N	1	*	*,1438,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	310	NA	MN855734	NA	88.387	matthijnssen
contig_1439	21386	34	N	N	1	*	*,1439,*	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_144	12339	21	N	N	1	*	2091,2092,-2091,2091,2092,-2092,-2091,144	organism	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	266.666666666667	NA	MN856004	NA	75.8746666666667	matthijnssen
contig_1441	2198	23	N	N	1	*	*,1441,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1442	550	7	N	Y	1	*	1442	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	563	NA	MN855601	NA	81.883	matthijnssen
contig_1443	2348	46	N	Y	1	*	1443	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	532	NA	MN855711	NA	93.5735	matthijnssen
contig_1444	5100	54	N	N	1	*	*,1444,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1445	837	113	N	Y	1	232	*,1445,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1446	945	38	N	Y	38	232	*,1446,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1447	3333	4	N	N	1	*	*,1447,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	86.3845	NA	1471	NA	JAAOBB010000148.1	NA	engel
contig_1448	23150	15	N	N	1	*	*,1448,*	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_145	84301	913	N	N	7	*	1243,145,-1232,2738,-2738,1232,2738,-2738,-1232,2738,-2738,1232,2738	virus	lysogenic	medium quality draft	incomplete(20)	head	23	14	no	PHAGE_Escher_RCS47_NC_042128(3),PHAGE_Entero_P1_NC_005856(3),PHAGE_Salmon_SJ46_NC_031129(3),PHAGE_Mannhe_vB_MhS_587AP2_NC_028743(1),PHAGE_Shigel_Sf6_NC_005344(1),PHAGE_Pseudo_DL60_NC_028745(1),PHAGE_Salmon_103203_sal5_NC_031946(1),PHAGE_Vibrio_12A4_NC_021068(1),PHAGE_Lactob_JCL1032_NC_019456(1),PHAGE_Gordon_BritBrat_NC_030942(1),PHAGE_Erwini_phiEt88_NC_015295(1),PHAGE_Lactob_jlb1_NC_024206(1),PHAGE_Salmon_118970_sal4_NC_030919(1),PHAGE_Entero_mEpX1_NC_019709(1),PHAGE_Haemop_Aaphi23_NC_004827(1),PHAGE_Pseudo_LBL3_NC_011165(1),PHAGE_Burkho_BcepIL02_NC_012743(1),PHAGE_Entero_phi80_NC_021190(1),PHAGE_Vibrio_ValKK3_NC_028829(1),PHAGE_Vibrio_VvAW1_NC_020488(1),PHAGE_Bacter_B40_8_NC_011222(1),PHAGE_Entero_HK542_NC_019769(1),PHAGE_Pseudo_phi297_NC_016762(1),PHAGE_Pseudo_H66_NC_042342(1),PHAGE_Pseudo_YMC11/07/P54_PAE_BP_NC_030909(1),PHAGE_Rhizob_vB_RleM_P10VF_NC_025429(1),PHAGE_Entero_mEp237_NC_019704(1),PHAGE_Salmon_SPN3UB_NC_019545(1),PHAGE_Entero_phiP27_NC_003356(1),PHAGE_Salmon_SEN34_NC_028699(1),PHAGE_Entero_HK225_NC_019717(1),PHAGE_Pantoe_vB_PagS_Vid5_NC_042120(1),PHAGE_Phage_Gifsy_2_NC_010393(1),PHAGE_Sinorh_phiM9_NC_028676(1),PHAGE_Mycoba_Llama_NC_028923(1),PHAGE_Entero_Sf101_NC_027398(1),PHAGE_Pseudo_F8_NC_007810(1),PHAGE_Salmon_HK620_NC_002730(1),PHAGE_Pseudo_F10_NC_007805(1),PHAGE_Pseudo_PB1_NC_011810(1),PHAGE_Entero_phiEf11_NC_013696(1),PHAGE_Burkho_Bcep176_NC_007497(1),PHAGE_Pseudo_phi2_NC_030931(1),PHAGE_Klebsi_vB_KpnM_KpV52_NC_041900(1),PHAGE_Aggreg_S1249_NC_013597(1),PHAGE_Vibrio_X29_NC_024369(1),PHAGE_Lactob_Lj771_NC_010179(1),PHAGE_Bacill_phBC6A52_NC_004821(1),PHAGE_Salmon_ST64T_NC_004348(1),PHAGE_Acinet_phiAC_1_NC_028995(1)	NA	695.916666666667	NA	MN856004	NA	87.57525	matthijnssen
contig_1452	19925	167	N	N	1	*	-816,-816,1452,2760,1451	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	93.72525	357.5	454.75	MN855585	JAAOBB010000022.1	87.87175	both
contig_1453	4884	31	N	N	2	*	*,1453,*	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	1950	NA	MN855605	NA	93.9735	matthijnssen
contig_1454	7387	10	N	N	1	*	*,1454,*	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	7396	NA	MN855960	NA	92.739	matthijnssen
contig_1458	410	31	N	Y	1	*	1458	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	156.25	NA	MN855607	NA	88.1435	matthijnssen
contig_146	19500	40	N	N	2	*	*,146,*	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1463	946	39	N	Y	3	*	1463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	271.25	NA	MN855607	NA	91.49875	matthijnssen
contig_1464	519	89	N	Y	1	*	1464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	486	NA	MN855607	NA	76.132	matthijnssen
contig_1465	1065	108	N	Y	1	*	1465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	230.571428571429	NA	MN855607	NA	85.427	matthijnssen
contig_1466	3436	69	N	Y	3	*	1466	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	1178.33333333333	NA	MN855594	NA	93.3846666666667	matthijnssen
contig_1468	5039	6	N	N	1	*	*,1468,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1469	7607	10	N	Y	1	318	*,1469,*	organism	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_147	2387	86	N	N	3	*	*,147,*	organism	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1470	21388	112	N	Y	1	318	*,1470,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1471	11072	80	N	N	2	*	*,1471,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1472	36202	9	N	N	1	*	*,1472,*	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1473	44376	14	N	N	1	*	*,1473,*	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1474	44984	78	N	N	1	*	*,1474,*	plasmid	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1475	39285	47	N	N	1	*	-2690,-1476,1475,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1477	18438	56	N	N	1	*	-2690,-1476,1477,1476,2690	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1478	8792	149	N	N	1	*	-2690,1478,-1311,1314	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1479	35851	12	N	N	1	*	*,1479,*	organism	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_148	5817	33	N	N	1	*	*,148,*	plasmid	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1482	2474	199	N	N	1	*	*,1482,*	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	97.7	1242.5	1239.5	MN855706	JAAOBB010000114.1	83.9285	both
contig_1483	3067	8	N	N	1	*	*,1483,*	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	90.1715	NA	1530.5	NA	JAAOBB010000114.1,JAAOBB010000134.1	NA	engel
contig_1484	3620	10	N	N	2	*	*,1484,*	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	91.48475	NA	912	NA	JAAOBB010000117.1,JAAOBB010000125.1	NA	engel
contig_1486	26353	15	N	N	1	*	*,1486,*	plasmid	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1487	131233	99	N	N	1	*	1493,2811,-1493,1487,*	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	84.321	1142	287	MN856045	JAAOBB010000021.1	89.2634	both
contig_1488	1883	10	N	N	2	*	*,1488,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1489	19938	45	N	Y	1	236	*,1489,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_149	19278	154	N	N	3	*	*,149,*	virus	lytic	low quality draft	intact(150)	tail,capsid,head	44	22	no	PHAGE_Lactob_jlb1_NC_024206(7),PHAGE_Lactob_KC5a_NC_007924(7),PHAGE_Lactob_phiAQ113_NC_019782(7),PHAGE_Lactob_Lj771_NC_010179(7),PHAGE_Strept_EJ_1_NC_005294(3),PHAGE_Clostr_phiCT453A_NC_028991(2),PHAGE_Lactob_Lj928_NC_005354(2),PHAGE_Strept_20617_NC_023503(1),PHAGE_Lister_A118_NC_003216(1),PHAGE_Lactob_phig1e_NC_004305(1),PHAGE_Strept_2972_NC_007019(1),PHAGE_Strept_A25_NC_028697(1),PHAGE_Brevib_Jimmer2_NC_041976(1),PHAGE_Lactoc_Tuc2009_NC_002703(1),PHAGE_Strept_Alq132_NC_013598(1),PHAGE_Entero_phiFL2A_NC_013643(1),PHAGE_Bacill_250_NC_029024(1),PHAGE_Strept_5093_NC_012753(1),PHAGE_Entero_phiFL1A_NC_013646(1)	84.239	4491	5749	MN855715	JAAOBB010000009.1	81.799	both
contig_1490	15830	54	N	Y	3	236	*,1490,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1491	16448	111	N	N	1	*	*,1491,*	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	82.734	615.25	556	MN856045	JAAOBB010000021.1	88.50825	both
contig_1492	42410	145	N	N	1	*	*,1492	NA	NA	NA	NA	NA	NA	NA	NA	NA	82.581	211	155	MN856047	JAAOBB010000160.1	88.626	both
contig_1494	636	4	N	Y	1	238	*,1494,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1495	610	8	N	Y	1	238	*,1495,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1496	8568	199	N	Y	2	*	1496	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1497	2290	39	N	N	6	*	*,1497,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1498	4270	44	N	Y	1	238	*,1498	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1499	12167	35	N	N	1	*	*,1499,*	organism	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_150	1047	940	N	N	156	*	*,150,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	96.3065	377	393	MN855671	JAAOBB010000022.1	95.19	both
contig_1500	6741	92	Y	N	1	*	1500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1501	7458	27	N	N	3	*	*,1501,*	organism	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1502	4494	369	N	Y	4	*	1502	virus	lytic	low quality draft	NA	NA	NA	NA	NA	NA	88.608	860	411.333333333333	MN855750	JAAOBB010000159.1	97.558	both
contig_1503	8569	53	N	N	2	*	*,1503,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1505	2730	66	N	N	1	*	1504,1505,-1504	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1506	18199	69	N	N	1	*	*,1506,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1507	13604	67	N	N	3	*	*,1507,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1508	7531	21	N	N	2	*	*,1508,*	organism	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1509	7166	16	N	N	1	*	*,1509,*	organism	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_151	34706	66	N	N	1	*	151,1169	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1510	13214	26	N	Y	1	240	*,1510,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1511	9374	149	N	Y	2	240	*,1511,*	plasmid	lytic	low quality draft	incomplete(60)	transposase	6	6	no	PHAGE_Bacter_Diva_NC_028788(2),PHAGE_Paenib_Shelly_NC_041909(2),PHAGE_Lister_P70_NC_018831(1),PHAGE_Entero_EFLK1_NC_029026(1),PHAGE_Entero_phiEF24C_NC_009904(1),PHAGE_Lactob_LfeInf_NC_029058(1),PHAGE_Bacter_Sitara_NC_028854(1),PHAGE_Paenib_Xenia_NC_028837(1),PHAGE_Shigel_SfIV_NC_022749(1),PHAGE_Entero_ECP3_NC_027335(1)	NA	NA	NA	NA	NA	NA	none
contig_1512	126251	123	N	N	1	*	-2805,1512	organism,organism,organism	lytic	low quality draft	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1513	7659	90	N	N	1	*	*,1513,*	organism	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1514	3309	11	N	N	1	*	*,1514,*	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	none
contig_1516	6833	71	N	N	3	*	*,1516,*	virus	lytic	low quality draft	questionable(80)	head,protease,portal	9	9	no	PHAGE_Lactoc_bIL309_NC_002668(3),PHAGE_Lactob_Lc_Nu_NC_007501(3),PHAGE_Lactob_phiAT3_NC_005893(3),PHAGE_Lactob_Lv_1_NC_011801(2),PHAGE_Strept_Sfi19_NC_000871(1),PHAGE_Strept_M102AD_NC_028984(1),PHAGE_Entero_IME_EFm5_NC_028826(1),PHAGE_Staphy_StB20_NC_019915(1),PHAGE_Lactob_Lrm1_NC_011104(1),PHAGE_Strept_APCM01_NC_029030(1),PHAGE_Entero_IME_EFm1_NC_024356(1),PHAGE_Staphy_StB20_like_NC_028821(1),PHAGE_Strept_M102_NC_012884(1),PHAGE_Strept_7201_NC_002185(1)	79.413	2900	2793	MN855897	JAAOBB010000096.1	93.6385	both
